,train_summaries,test_summaries,trial_id,parent_study_id
0,1485.0338134765625,1420.41943359375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
1,1411.5462646484375,1351.0111083984375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
2,1342.1002197265625,1285.3902587890625,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
3,1276.49560546875,1223.4005126953125,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
4,1214.49853515625,1164.9083251953125,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
5,1155.9964599609375,1109.6622314453125,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
6,1100.760498046875,1057.4866943359375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
7,1048.614013671875,1008.2841186523438,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
8,999.4242553710938,961.9085083007812,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
9,953.0731811523438,918.18408203125,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
10,909.392822265625,876.988037109375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
11,868.2646484375,838.1800537109375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
12,829.5454711914062,801.7181396484375,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
13,793.0878295898438,767.3801879882812,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
14,758.83154296875,735.0733032226562,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
15,726.6868896484375,704.7571411132812,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
16,696.4947509765625,676.2957153320312,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
17,668.1174926757812,649.6367797851562,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
18,641.5923461914062,624.6373901367188,model_20210816-060937-f5038c9169-493386df98,model_20210816-060937-f5038c9169
