,train_summaries,test_summaries,trial_id,parent_study_id
0,754.893310546875,763.543701171875,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
1,703.295166015625,712.724853515625,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
2,655.8475341796875,665.9465942382812,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
3,612.24365234375,622.9188232421875,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
4,572.2161865234375,583.3764038085938,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
5,535.5140380859375,547.0694580078125,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
6,501.90704345703125,513.7949829101562,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
7,471.181396484375,483.3148498535156,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
8,443.1396789550781,455.4241638183594,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
9,417.5890808105469,429.9697265625,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
10,394.3321533203125,406.72808837890625,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
11,373.2469787597656,385.5707702636719,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
12,354.1532897949219,366.3369445800781,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
13,336.8805236816406,348.8747253417969,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
14,321.3227233886719,333.07073974609375,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
15,307.3055419921875,318.7735595703125,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
16,294.72369384765625,305.8627624511719,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
17,283.475830078125,294.2185974121094,model_20210816-061055-641fae8d1b-3a92d6158d,model_20210816-061055-641fae8d1b
