,train_summaries,test_summaries,trial_id,parent_study_id
0,1447.7083740234375,1378.89453125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
1,1317.35986328125,1253.46044921875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
2,1200.59326171875,1140.962158203125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
3,1096.0911865234375,1040.2235107421875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
4,1002.6524047851562,950.095947265625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
5,919.435546875,869.6187133789062,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
6,845.465087890625,797.9619750976562,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
7,779.7252197265625,734.2969970703125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
8,721.6445922851562,677.9208374023438,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
9,670.4051513671875,628.2040405273438,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
10,625.4144897460938,584.3634033203125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
11,586.0599365234375,545.8792724609375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
12,551.7460327148438,512.210693359375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
13,521.9650268554688,483.0311584472656,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
14,496.1938781738281,457.7875061035156,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
15,473.9529724121094,436.0184631347656,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
16,454.8306884765625,417.2138671875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
17,438.49267578125,401.1820983886719,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
18,424.65631103515625,387.5317687988281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
19,412.8428039550781,375.9482421875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
20,402.6701354980469,366.0683288574219,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
21,394.2018737792969,357.74090576171875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
22,386.98583984375,350.7787170410156,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
23,380.9722900390625,344.8673400878906,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
24,375.6963195800781,339.8331604003906,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
25,371.1073913574219,335.65936279296875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
26,367.3678283691406,332.0951843261719,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
27,364.17193603515625,329.141845703125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
28,361.3556213378906,326.66546630859375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
29,359.09881591796875,324.61517333984375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
30,357.0504455566406,322.8221130371094,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
31,355.3282470703125,321.4160461425781,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
32,353.7747802734375,320.1435546875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
33,352.42572021484375,319.0444641113281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
34,351.22454833984375,318.0913391113281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
35,350.0548095703125,317.3186950683594,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
36,349.00323486328125,316.6676025390625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
37,348.09051513671875,316.1003723144531,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
38,347.2981872558594,315.5379638671875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
39,346.61163330078125,315.0434875488281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
40,345.9585266113281,314.63604736328125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
41,345.2215270996094,314.3390808105469,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
42,344.4323425292969,313.9859924316406,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
43,343.8431091308594,313.7548828125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
44,343.3307800292969,313.5021667480469,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
45,342.82843017578125,313.27325439453125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
46,342.3558654785156,313.0240478515625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
47,341.9790954589844,312.7534484863281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
48,341.2158203125,312.6759338378906,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
49,340.3355407714844,312.53057861328125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
50,339.8133239746094,312.34405517578125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
51,339.43682861328125,312.1851501464844,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
52,339.0331726074219,311.99957275390625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
53,338.6998291015625,311.8561706542969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
54,338.1698303222656,311.8387451171875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
55,337.8883056640625,311.6893310546875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
56,337.6275939941406,311.5474548339844,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
57,337.21636962890625,311.5213623046875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
58,336.9801940917969,311.384765625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
59,336.6796569824219,311.3175964355469,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
60,336.44921875,311.2091979980469,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
61,336.0945739746094,311.09112548828125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
62,335.7735290527344,310.98248291015625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
63,335.4509582519531,310.9782409667969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
64,335.2093505859375,310.86773681640625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
65,334.90045166015625,310.79400634765625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
66,334.59417724609375,310.6783752441406,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
67,334.2704772949219,310.606689453125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
68,334.12518310546875,310.52764892578125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
69,333.9258728027344,310.4187927246094,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
70,333.61834716796875,310.3298034667969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
71,333.2811584472656,310.25006103515625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
72,332.88232421875,310.220458984375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
73,332.6296691894531,310.09954833984375,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
74,332.4527587890625,309.9880676269531,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
75,332.31939697265625,309.9248962402344,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
76,332.190185546875,309.8648376464844,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
77,332.0345764160156,309.7809753417969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
78,331.7690124511719,309.7045593261719,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
79,331.3678894042969,309.7438659667969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
80,331.1839294433594,309.68035888671875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
81,331.0289001464844,309.6157531738281,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
82,330.92425537109375,309.5685119628906,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
83,330.6771240234375,309.46826171875,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
84,330.5515441894531,309.3923034667969,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
85,330.2247619628906,309.40216064453125,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
86,329.9986877441406,309.40087890625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
87,329.8273010253906,309.3327941894531,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
88,329.5726013183594,309.2358093261719,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
89,329.4220275878906,309.1876525878906,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
90,329.3219909667969,309.1486511230469,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
91,328.76934814453125,309.16949462890625,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
92,328.6499938964844,309.1397399902344,model_20210816-163706-bc2900ba19-2eb2722370,model_20210816-163706-bc2900ba19
