,train_summaries,test_summaries,trial_id,parent_study_id
0,610.1280517578125,616.4839477539062,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
1,581.5851440429688,588.7040405273438,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
2,554.6089477539062,562.4256591796875,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
3,529.1264038085938,537.5838012695312,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
4,505.056884765625,514.1110229492188,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
5,482.3362731933594,491.9357604980469,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
6,460.9012451171875,470.9870910644531,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
7,440.6937561035156,451.2456970214844,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
8,421.64385986328125,432.6018981933594,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
9,403.6924743652344,415.0332336425781,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
10,386.8085021972656,398.47747802734375,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
11,370.9233703613281,382.8845520019531,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
12,355.990478515625,368.2019348144531,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
13,341.964111328125,354.38433837890625,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
14,328.81268310546875,341.3864440917969,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
15,316.4848937988281,329.16693115234375,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
16,304.9419250488281,317.7074890136719,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
17,294.13494873046875,306.94696044921875,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
18,284.0382385253906,296.8441467285156,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
19,274.60955810546875,287.3790283203125,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
20,265.8238525390625,278.5284423828125,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
21,257.6303405761719,270.234619140625,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
22,250.0049285888672,262.4754943847656,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
23,242.90133666992188,255.21336364746094,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
24,236.3315887451172,248.46395874023438,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
25,230.21438598632812,242.1480712890625,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
26,224.55775451660156,236.25018310546875,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
27,219.31600952148438,230.75816345214844,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
28,214.4799346923828,225.64930725097656,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
29,210.0003204345703,220.88954162597656,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
30,205.86109924316406,216.45233154296875,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
31,202.0586395263672,212.34776306152344,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
32,198.56146240234375,208.52658081054688,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
33,195.3599090576172,204.99403381347656,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
34,192.3907470703125,201.69041442871094,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
35,189.6747283935547,198.63507080078125,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
36,187.17088317871094,195.79391479492188,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
37,184.87557983398438,193.15676879882812,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
38,182.7957305908203,190.7246551513672,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
39,180.8651123046875,188.45748901367188,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
40,179.09909057617188,186.3577423095703,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
41,177.49166870117188,184.41485595703125,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
42,175.99880981445312,182.59812927246094,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
43,174.63499450683594,180.91700744628906,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
44,173.3828582763672,179.34837341308594,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
45,172.24147033691406,177.89654541015625,model_20210817-162938-95f115a6ca-7d59efb6b6,model_20210817-162938-95f115a6ca
