,train_summaries,test_summaries,trial_id,parent_study_id
0,841.9759521484375,789.8775634765625,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
1,774.3146362304688,728.4217529296875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
2,712.9058227539062,672.636474609375,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
3,657.2589721679688,622.0119018554688,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
4,606.8688354492188,576.0958862304688,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
5,561.3131103515625,534.5083618164062,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
6,520.228759765625,496.96612548828125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
7,483.15863037109375,463.0620422363281,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
8,449.906005859375,432.5577392578125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
9,420.0566101074219,405.07647705078125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
10,393.3138122558594,380.3559875488281,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
11,369.50927734375,358.2548828125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
12,348.2789001464844,338.4521179199219,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
13,329.33892822265625,320.6869201660156,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
14,312.6364440917969,304.8918762207031,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
15,297.9427795410156,290.8963928222656,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
16,285.0283508300781,278.4768371582031,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
17,273.7617492675781,267.4812927246094,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
18,263.8236999511719,257.7043151855469,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
19,255.25741577148438,249.1516876220703,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
20,247.72703552246094,241.51063537597656,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
21,241.29490661621094,234.90234375,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
22,235.65171813964844,229.02890014648438,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
23,230.74220275878906,223.82403564453125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
24,226.42478942871094,219.20127868652344,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
25,222.75265502929688,215.19081115722656,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
26,219.62619018554688,211.7133026123047,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
27,216.91650390625,208.6497344970703,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
28,214.5360870361328,205.88943481445312,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
29,212.47708129882812,203.49197387695312,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
30,210.59576416015625,201.32373046875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
31,209.0200653076172,199.45220947265625,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
32,207.72732543945312,197.83480834960938,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
33,206.5029754638672,196.3529052734375,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
34,205.3945770263672,195.0037384033203,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
35,204.36778259277344,193.79856872558594,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
36,203.44046020507812,192.69667053222656,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
37,202.7557830810547,191.78521728515625,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
38,202.07815551757812,190.92227172851562,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
39,201.40322875976562,190.10116577148438,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
40,200.84564208984375,189.41604614257812,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
41,200.2360076904297,188.75265502929688,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
42,199.53831481933594,188.09144592285156,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
43,199.03082275390625,187.4959716796875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
44,198.62942504882812,187.00828552246094,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
45,197.8776397705078,186.436279296875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
46,197.42601013183594,185.9858856201172,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
47,197.0845184326172,185.62872314453125,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
48,196.78907775878906,185.26597595214844,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
49,196.4606170654297,184.93685913085938,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
50,195.9829864501953,184.61329650878906,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
51,195.7281951904297,184.34056091308594,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
52,195.3837432861328,184.08050537109375,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
53,195.06045532226562,183.83717346191406,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
54,194.81748962402344,183.6338348388672,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
55,194.55917358398438,183.37794494628906,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
56,194.28892517089844,183.16346740722656,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
57,194.09556579589844,183.00291442871094,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
58,193.58457946777344,182.72756958007812,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
59,193.2946319580078,182.4924774169922,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
60,192.84686279296875,182.21249389648438,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
61,192.71556091308594,182.08612060546875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
62,192.57960510253906,181.9497833251953,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
63,192.25132751464844,181.7581024169922,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
64,191.87905883789062,181.5380401611328,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
65,191.7595977783203,181.4281463623047,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
66,191.66844177246094,181.33547973632812,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
67,191.42518615722656,181.18734741210938,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
68,191.25628662109375,181.06826782226562,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
69,190.8851776123047,180.89804077148438,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
70,190.7965545654297,180.8190155029297,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
71,190.6672821044922,180.74481201171875,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
72,190.49024963378906,180.64175415039062,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
73,190.2233428955078,180.5010223388672,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
74,190.1057586669922,180.4099884033203,model_20210817-164902-8634dc6dfa-385a0eb8e3,model_20210817-164902-8634dc6dfa
