,train_summaries,test_summaries,trial_id,parent_study_id
0,700.0498046875,676.271484375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
1,661.4705810546875,640.9918212890625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
2,625.259521484375,607.8779296875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
3,591.2769165039062,576.796142578125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
4,559.4061889648438,547.6417846679688,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
5,529.5238647460938,520.2850341796875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
6,501.5290832519531,494.6370849609375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
7,475.3074951171875,470.6075744628906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
8,450.75775146484375,448.0847473144531,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
9,427.7999572753906,427.0091552734375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
10,406.3367004394531,407.2969055175781,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
11,386.2973937988281,388.8634338378906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
12,367.5776062011719,371.58892822265625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
13,350.13934326171875,355.4701232910156,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
14,333.8728942871094,340.40216064453125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
15,318.7515869140625,326.36669921875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
16,304.6955871582031,313.2687072753906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
17,291.6540222167969,301.08001708984375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
18,279.5356750488281,289.7237854003906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
19,268.315673828125,279.163330078125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
20,257.94866943359375,269.341064453125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
21,248.35519409179688,260.2000427246094,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
22,239.51966857910156,251.7489471435547,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
23,231.37457275390625,243.89173889160156,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
24,223.8568115234375,236.56626892089844,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
25,216.957275390625,229.8015594482422,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
26,210.64053344726562,223.5565185546875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
27,204.84124755859375,217.7574005126953,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
28,199.55377197265625,212.4178924560547,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
29,194.73016357421875,207.4828338623047,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
30,190.3147735595703,202.9209442138672,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
31,186.30747985839844,198.72972106933594,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
32,182.63650512695312,194.81982421875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
33,179.30905151367188,191.23367309570312,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
34,176.29745483398438,187.92898559570312,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
35,173.55677795410156,184.88648986816406,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
36,171.05416870117188,182.07382202148438,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
37,168.784912109375,179.47503662109375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
38,166.69044494628906,177.05543518066406,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
39,164.81881713867188,174.8568572998047,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
40,163.09056091308594,172.7902374267578,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
41,161.5452423095703,170.9138641357422,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
42,160.1541290283203,169.16253662109375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
43,158.87844848632812,167.56121826171875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
44,157.71360778808594,166.0572509765625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
45,156.67123413085938,164.68292236328125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
46,155.7266845703125,163.4176025390625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
47,154.88328552246094,162.25469970703125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
48,154.08966064453125,161.1570587158203,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
49,153.3899688720703,160.16201782226562,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
50,152.71180725097656,159.2084197998047,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
51,152.1171112060547,158.33050537109375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
52,151.54595947265625,157.50814819335938,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
53,150.9818878173828,156.70420837402344,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
54,150.47853088378906,155.96865844726562,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
55,150.04830932617188,155.3169708251953,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
56,149.63015747070312,154.67669677734375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
57,149.23663330078125,154.084716796875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
58,148.8892364501953,153.544921875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
59,148.5587615966797,153.03665161132812,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
60,148.26002502441406,152.56484985351562,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
61,147.98846435546875,152.1310272216797,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
62,147.73895263671875,151.72312927246094,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
63,147.50933837890625,151.33981323242188,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
64,147.25820922851562,150.96885681152344,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
65,147.0394287109375,150.64085388183594,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
66,146.81039428710938,150.3082733154297,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
67,146.63555908203125,150.014404296875,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
68,146.44740295410156,149.7305908203125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
69,146.23533630371094,149.42047119140625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
70,146.09071350097656,149.188720703125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
71,145.93893432617188,148.95115661621094,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
72,145.80609130859375,148.73544311523438,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
73,145.62303161621094,148.48634338378906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
74,145.45022583007812,148.26893615722656,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
75,145.26641845703125,148.0289306640625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
76,145.11471557617188,147.82980346679688,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
77,144.93421936035156,147.61114501953125,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
78,144.79672241210938,147.43470764160156,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
79,144.66233825683594,147.25978088378906,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
80,144.56692504882812,147.1205291748047,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
81,144.4140167236328,146.9510040283203,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
82,144.29872131347656,146.81712341308594,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
83,144.1727294921875,146.65972900390625,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
84,144.07015991210938,146.53970336914062,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
85,143.96250915527344,146.4171905517578,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
86,143.8447723388672,146.28314208984375,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
87,143.77102661132812,146.19186401367188,model_20210818-170035-bdafa13736-9b90d5e491,model_20210818-170035-bdafa13736
