,train_summaries,test_summaries,trial_id,parent_study_id
0,876.0269165039062,877.74609375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
1,820.5581665039062,824.069580078125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
2,769.0679931640625,774.22705078125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
3,721.2916259765625,727.9436645507812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
4,676.9784545898438,685.0135498046875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
5,635.9354858398438,645.2308349609375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
6,597.9002685546875,608.3296508789062,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
7,562.7332763671875,574.182373046875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
8,530.2322998046875,542.5797119140625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
9,500.21728515625,513.314697265625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
10,472.5135498046875,486.277099609375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
11,447.0129699707031,461.3459167480469,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
12,423.5366516113281,438.3633728027344,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
13,401.9886779785156,417.20025634765625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
14,382.2260437011719,397.7209167480469,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
15,364.1277160644531,379.81182861328125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
16,347.59503173828125,363.38970947265625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
17,332.5104064941406,348.3271484375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
18,318.8030700683594,334.5434875488281,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
19,306.3121337890625,321.9172668457031,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
20,294.96923828125,310.3975524902344,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
21,284.6849060058594,299.88720703125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
22,275.39605712890625,290.29571533203125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
23,267.03863525390625,281.5849304199219,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
24,259.49896240234375,273.6353454589844,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
25,252.71966552734375,266.4377136230469,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
26,246.61279296875,259.8882751464844,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
27,241.0977783203125,253.92457580566406,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
28,236.1698455810547,248.51657104492188,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
29,231.81930541992188,243.6731719970703,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
30,227.8644256591797,239.254638671875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
31,224.3306427001953,235.2311553955078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
32,221.16053771972656,231.6168975830078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
33,218.31517028808594,228.33547973632812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
34,215.7877197265625,225.3531036376953,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
35,213.4647979736328,222.6377410888672,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
36,211.41583251953125,220.16778564453125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
37,209.583251953125,217.9256591796875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
38,207.92684936523438,215.8707275390625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
39,206.3961639404297,214.0150909423828,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
40,205.05055236816406,212.31427001953125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
41,203.82131958007812,210.77928161621094,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
42,202.74510192871094,209.37765502929688,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
43,201.7281036376953,208.07681274414062,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
44,200.79885864257812,206.8971710205078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
45,199.96351623535156,205.8110809326172,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
46,199.19448852539062,204.80303955078125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
47,198.4730224609375,203.87213134765625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
48,197.7900848388672,202.99937438964844,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
49,197.1577606201172,202.23388671875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
50,196.5918731689453,201.51959228515625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
51,196.04443359375,200.85452270507812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
52,195.58045959472656,200.25485229492188,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
53,195.13780212402344,199.70407104492188,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
54,194.6706085205078,199.15570068359375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
55,194.31112670898438,198.6920928955078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
56,193.90142822265625,198.21759033203125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
57,193.5258026123047,197.8028106689453,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
58,193.11370849609375,197.39730834960938,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
59,192.841552734375,197.05661010742188,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
60,192.4805450439453,196.6954803466797,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
61,192.1971893310547,196.39454650878906,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
62,191.92263793945312,196.1043243408203,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
63,191.58363342285156,195.8181915283203,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
64,191.2669219970703,195.52886962890625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
65,190.95919799804688,195.2787322998047,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
66,190.70150756835938,195.00262451171875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
67,190.430419921875,194.7561492919922,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
68,190.18946838378906,194.5332489013672,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
69,189.91607666015625,194.30979919433594,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
70,189.71603393554688,194.12191772460938,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
71,189.4535369873047,193.8975067138672,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
72,189.28033447265625,193.73191833496094,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
73,189.10057067871094,193.5695037841797,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
74,188.92596435546875,193.4100799560547,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
75,188.7486114501953,193.26007080078125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
76,188.56710815429688,193.1216583251953,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
77,188.41575622558594,193.00811767578125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
78,188.2550048828125,192.8749237060547,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
79,188.08055114746094,192.73728942871094,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
80,187.85987854003906,192.64065551757812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
81,187.71376037597656,192.52987670898438,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
82,187.487060546875,192.4147491455078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
83,187.2693634033203,192.27835083007812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
84,187.1497802734375,192.19113159179688,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
85,186.9427947998047,192.09402465820312,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
86,186.73468017578125,191.95669555664062,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
87,186.583984375,191.85125732421875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
88,186.3797607421875,191.7303924560547,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
89,186.23623657226562,191.62542724609375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
90,186.1040496826172,191.5354766845703,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
91,185.9503631591797,191.45211791992188,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
92,185.8286590576172,191.3744354248047,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
93,185.63067626953125,191.26495361328125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
94,185.4863739013672,191.1760711669922,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
95,185.3355712890625,191.11781311035156,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
96,185.20376586914062,191.0590362548828,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
97,185.0541229248047,190.9977569580078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
98,184.9117889404297,190.9185333251953,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
99,184.80274963378906,190.8727264404297,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
100,184.6826629638672,190.80079650878906,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
101,184.56402587890625,190.7526397705078,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
102,184.48519897460938,190.71438598632812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
103,184.38818359375,190.65940856933594,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
104,184.2497100830078,190.62457275390625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
105,184.0680694580078,190.5565948486328,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
106,183.91751098632812,190.48895263671875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
107,183.84703063964844,190.4482421875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
108,183.7568817138672,190.40663146972656,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
109,183.65460205078125,190.34681701660156,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
110,183.57196044921875,190.29852294921875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
111,183.4914093017578,190.2673797607422,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
112,183.40249633789062,190.2183380126953,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
113,183.32635498046875,190.1861114501953,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
114,183.10202026367188,190.12403869628906,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
115,183.0037078857422,190.06619262695312,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
116,182.9346923828125,190.029541015625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
117,182.80368041992188,189.990478515625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
118,182.7440643310547,189.96951293945312,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
119,182.68441772460938,189.93594360351562,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
120,182.59228515625,189.9120330810547,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
121,182.5316925048828,189.88304138183594,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
122,182.44064331054688,189.82691955566406,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
123,182.37588500976562,189.79417419433594,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
124,182.25498962402344,189.7670440673828,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
125,182.20816040039062,189.7395782470703,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
126,182.0704345703125,189.69329833984375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
127,182.01296997070312,189.68634033203125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
128,181.95187377929688,189.6591339111328,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
129,181.86102294921875,189.6044464111328,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
130,181.8046417236328,189.58348083496094,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
131,181.7218017578125,189.54249572753906,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
132,181.64627075195312,189.5110321044922,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
133,181.57443237304688,189.46788024902344,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
134,181.4545135498047,189.447021484375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
135,181.38247680664062,189.40411376953125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
136,181.30262756347656,189.36387634277344,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
137,181.24688720703125,189.33697509765625,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
138,181.150390625,189.29946899414062,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
139,181.0182647705078,189.25868225097656,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
140,180.92404174804688,189.225341796875,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
141,180.8421630859375,189.20094299316406,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
142,180.79318237304688,189.18263244628906,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
143,180.69915771484375,189.14114379882812,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
144,180.6306610107422,189.11143493652344,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
145,180.5586700439453,189.08486938476562,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
146,180.49827575683594,189.05743408203125,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
147,180.43643188476562,189.0258331298828,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
148,180.36781311035156,188.9945068359375,model_20210819-193805-806aeea0f3-6feb6fe231,model_20210819-193805-806aeea0f3
