,train_summaries,test_summaries,trial_id,parent_study_id
0,1495.4849853515625,1454.8475341796875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
1,1422.5050048828125,1385.6741943359375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
2,1353.485107421875,1320.3079833984375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
3,1288.222412109375,1258.5064697265625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
4,1226.525390625,1200.111083984375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
5,1168.22998046875,1144.8953857421875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
6,1113.164306640625,1092.7786865234375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
7,1061.1544189453125,1043.6033935546875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
8,1012.0513916015625,997.1682739257812,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
9,965.744384765625,953.40283203125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
10,922.052734375,912.1268920898438,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
11,880.8764038085938,873.1990966796875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
12,842.0844116210938,836.5397338867188,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
13,805.572998046875,802.0825805664062,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
14,771.2144165039062,769.599609375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
15,738.9063110351562,739.130126953125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
16,708.54248046875,710.4959716796875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
17,680.0205688476562,683.5885620117188,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
18,653.2736206054688,658.3742065429688,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
19,628.2040405273438,634.744140625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
20,604.7522583007812,612.6224975585938,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
21,582.7869262695312,591.9205322265625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
22,562.2725830078125,572.5537719726562,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
23,543.1220092773438,554.4473266601562,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
24,525.2387084960938,537.5946044921875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
25,508.5908508300781,521.8568725585938,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
26,493.1148376464844,507.2392578125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
27,478.68505859375,493.5498352050781,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
28,465.310546875,480.8447570800781,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
29,452.92413330078125,469.0447998046875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
30,441.41998291015625,458.07696533203125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
31,430.76104736328125,447.8612976074219,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
32,420.9185791015625,438.43304443359375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
33,411.7480163574219,429.6698303222656,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
34,403.2967224121094,421.60589599609375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
35,395.5326232910156,414.1217041015625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
36,388.348388671875,407.141845703125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
37,381.72088623046875,400.76690673828125,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
38,375.61895751953125,394.8677978515625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
39,369.9217529296875,389.4169006347656,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
40,364.77825927734375,384.37200927734375,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
41,359.9864807128906,379.6965637207031,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
42,355.6002197265625,375.40985107421875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
43,351.5648498535156,371.4801330566406,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
44,347.8804931640625,367.7839050292969,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
45,344.4905700683594,364.3329772949219,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
46,341.345458984375,361.21734619140625,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
47,338.42791748046875,358.36639404296875,model_20210821-223441-d651b148ef-974a5a7dc6,model_20210821-223441-d651b148ef
