,train_summaries,test_summaries,trial_id,parent_study_id
0,763.949951171875,784.3273315429688,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
1,722.3978271484375,742.9218139648438,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
2,683.4835815429688,704.1238403320312,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
3,647.0535278320312,667.7777099609375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
4,612.97216796875,633.744384765625,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
5,581.1153564453125,601.9119873046875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
6,551.3480834960938,572.132568359375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
7,523.5654907226562,544.3052368164062,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
8,497.64544677734375,518.3034057617188,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
9,473.4891357421875,494.0364074707031,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
10,450.9932861328125,471.4035339355469,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
11,430.0820007324219,450.30902099609375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
12,410.65850830078125,430.685546875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
13,392.6341857910156,412.417724609375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
14,375.92852783203125,395.45452880859375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
15,360.473876953125,379.69091796875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
16,346.1865539550781,365.0664367675781,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
17,333.0220642089844,351.5335388183594,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
18,320.8888244628906,339.0117492675781,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
19,309.710205078125,327.423828125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
20,299.4458923339844,316.73736572265625,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
21,290.025390625,306.8742370605469,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
22,281.404541015625,297.7753601074219,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
23,273.52716064453125,289.4176330566406,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
24,266.3326721191406,281.7207336425781,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
25,259.7765808105469,274.6609191894531,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
26,253.7932586669922,268.1700744628906,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
27,248.3734130859375,262.22796630859375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
28,243.4522705078125,256.7736511230469,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
29,238.9761962890625,251.7772674560547,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
30,234.94198608398438,247.21864318847656,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
31,231.28555297851562,243.05889892578125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
32,227.9696502685547,239.2487030029297,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
33,224.95155334472656,235.7554931640625,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
34,222.2390899658203,232.5728302001953,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
35,219.81044006347656,229.67425537109375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
36,217.5634765625,226.998779296875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
37,215.56045532226562,224.56495666503906,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
38,213.74522399902344,222.33811950683594,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
39,212.12310791015625,220.3184814453125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
40,210.66616821289062,218.47779846191406,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
41,209.3133087158203,216.7696990966797,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
42,208.10272216796875,215.209716796875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
43,207.0350341796875,213.79757690429688,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
44,206.00807189941406,212.467529296875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
45,205.14466857910156,211.3011474609375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
46,204.34861755371094,210.21478271484375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
47,203.61878967285156,209.2139892578125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
48,202.96878051757812,208.2957000732422,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
49,202.35726928710938,207.442626953125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
50,201.8202362060547,206.68588256835938,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
51,201.30238342285156,205.95921325683594,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
52,200.8483123779297,205.29983520507812,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
53,200.4385986328125,204.69667053222656,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
54,200.01626586914062,204.11558532714844,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
55,199.66978454589844,203.59898376464844,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
56,199.34681701660156,203.12200927734375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
57,199.02085876464844,202.66671752929688,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
58,198.72618103027344,202.2552947998047,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
59,198.46121215820312,201.87144470214844,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
60,198.22080993652344,201.52210998535156,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
61,197.96456909179688,201.1762237548828,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
62,197.7472381591797,200.86805725097656,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
63,197.54876708984375,200.58409118652344,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
64,197.34547424316406,200.3151397705078,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
65,197.12869262695312,200.0504913330078,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
66,196.96170043945312,199.8255157470703,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
67,196.8088836669922,199.60366821289062,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
68,196.63975524902344,199.38577270507812,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
69,196.50091552734375,199.203857421875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
70,196.3630828857422,199.02476501464844,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
71,196.24148559570312,198.85879516601562,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
72,196.1083984375,198.70159912109375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
73,195.9820098876953,198.53927612304688,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
74,195.87017822265625,198.39599609375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
75,195.72052001953125,198.2456512451172,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
76,195.6187744140625,198.12649536132812,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
77,195.49224853515625,198.0041961669922,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
78,195.37400817871094,197.87664794921875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
79,195.24066162109375,197.74476623535156,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
80,195.13870239257812,197.63665771484375,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
81,195.01622009277344,197.514404296875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
82,194.9182586669922,197.4021759033203,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
83,194.81175231933594,197.3094024658203,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
84,194.69168090820312,197.1976776123047,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
85,194.5769500732422,197.10888671875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
86,194.48414611816406,197.02273559570312,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
87,194.3826141357422,196.9375762939453,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
88,194.30174255371094,196.86343383789062,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
89,194.2001190185547,196.7798614501953,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
90,194.1212921142578,196.70753479003906,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
91,194.00384521484375,196.63368225097656,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
92,193.91810607910156,196.5596923828125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
93,193.82237243652344,196.4911651611328,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
94,193.73455810546875,196.4207305908203,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
95,193.66404724121094,196.36306762695312,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
96,193.59642028808594,196.3061981201172,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
97,193.4968719482422,196.24412536621094,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
98,193.4130401611328,196.18719482421875,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
99,193.35719299316406,196.13771057128906,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
100,193.26380920410156,196.0861053466797,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
101,193.16363525390625,196.03863525390625,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
102,193.0631561279297,195.97906494140625,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
103,193.00607299804688,195.9384002685547,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
104,192.91839599609375,195.8848876953125,model_20210821-223503-dc59672888-ec8fbb16c8,model_20210821-223503-dc59672888
