,train_summaries,test_summaries,trial_id,parent_study_id
0,1454.923828125,1388.9071044921875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
1,1357.87158203125,1299.1160888671875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
2,1268.05126953125,1216.1396484375,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
3,1184.970458984375,1139.4908447265625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
4,1108.161376953125,1068.743896484375,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
5,1037.2176513671875,1003.5382080078125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
6,971.7450561523438,943.4695434570312,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
7,911.3648071289062,888.198486328125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
8,855.6663208007812,837.4136962890625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
9,804.4839477539062,790.7960815429688,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
10,757.351806640625,748.10888671875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
11,714.10302734375,708.9493408203125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
12,674.4757080078125,673.1380615234375,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
13,638.2048950195312,640.5350341796875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
14,605.05224609375,610.8020629882812,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
15,574.7989501953125,583.725830078125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
16,547.245849609375,559.219970703125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
17,522.2418212890625,536.9994506835938,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
18,499.57122802734375,516.9132080078125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
19,479.06036376953125,498.796875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
20,460.5067443847656,482.44183349609375,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
21,443.7454528808594,467.7359313964844,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
22,428.7051086425781,454.5754089355469,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
23,415.1922607421875,442.7661437988281,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
24,403.11773681640625,432.1766357421875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
25,392.2748718261719,422.6965637207031,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
26,382.5484313964844,414.2424621582031,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
27,373.89337158203125,406.7142028808594,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
28,366.2129821777344,400.0040283203125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
29,359.289306640625,394.03741455078125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
30,353.1214599609375,388.7424621582031,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
31,347.65576171875,384.03643798828125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
32,342.81475830078125,379.83837890625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
33,338.5085754394531,376.1131286621094,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
34,334.6776123046875,372.78228759765625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
35,331.2637634277344,369.8318786621094,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
36,328.13812255859375,367.1363830566406,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
37,325.4845886230469,364.77862548828125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
38,323.029296875,362.6759033203125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
39,320.90264892578125,360.79217529296875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
40,318.8669738769531,359.1341247558594,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
41,317.07000732421875,357.6291198730469,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
42,315.4644775390625,356.29229736328125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
43,314.017333984375,355.044189453125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
44,312.7261047363281,353.978271484375,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
45,311.52337646484375,353.0083312988281,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
46,310.46490478515625,352.1148681640625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
47,309.5569152832031,351.3587951660156,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
48,308.55413818359375,350.63299560546875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
49,307.7021179199219,350.01776123046875,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
50,306.9302062988281,349.402587890625,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
51,306.20037841796875,348.86065673828125,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
52,305.5455627441406,348.3912658691406,model_20210828-000901-65c3644865-033d22b0bd,model_20210828-000901-65c3644865
