,train_summaries,test_summaries,trial_id,parent_study_id
0,601.423828125,626.2660522460938,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
1,572.240478515625,596.8499145507812,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
2,544.7235107421875,569.0972290039062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
3,518.780517578125,542.914306640625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
4,494.33026123046875,518.2266845703125,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
5,471.30548095703125,494.9537658691406,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
6,449.62982177734375,473.0411071777344,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
7,429.23736572265625,452.3927917480469,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
8,410.063232421875,432.9603271484375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
9,392.0467224121094,414.6775817871094,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
10,375.1300354003906,397.48944091796875,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
11,359.2669982910156,381.3426513671875,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
12,344.3838195800781,366.1787109375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
13,330.462158203125,351.95648193359375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
14,317.4187927246094,338.6014099121094,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
15,305.23992919921875,326.0909729003906,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
16,293.85394287109375,314.38189697265625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
17,283.2360534667969,303.4192199707031,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
18,273.35345458984375,293.17523193359375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
19,264.1536560058594,283.6075744628906,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
20,255.60397338867188,274.6700439453125,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
21,247.6471405029297,266.3254089355469,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
22,240.24993896484375,258.5474853515625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
23,233.42713928222656,251.3060760498047,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
24,227.1082763671875,244.56361389160156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
25,221.2670440673828,238.30380249023438,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
26,215.85150146484375,232.47608947753906,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
27,210.87709045410156,227.09048461914062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
28,206.2913360595703,222.08255004882812,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
29,202.09080505371094,217.43714904785156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
30,198.2258758544922,213.13726806640625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
31,194.65216064453125,209.12998962402344,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
32,191.38841247558594,205.439697265625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
33,188.38055419921875,202.0200958251953,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
34,185.6368408203125,198.86000061035156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
35,183.1394500732422,195.9434051513672,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
36,180.85067749023438,193.23597717285156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
37,178.7471923828125,190.73260498046875,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
38,176.8233642578125,188.41358947753906,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
39,175.07278442382812,186.2737579345703,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
40,173.45948791503906,184.3023223876953,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
41,171.99658203125,182.48948669433594,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
42,170.6414031982422,180.80262756347656,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
43,169.43850708007812,179.26979064941406,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
44,168.3217010498047,177.8279571533203,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
45,167.274658203125,176.474365234375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
46,166.3245391845703,175.2339630126953,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
47,165.46929931640625,174.09152221679688,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
48,164.69210815429688,173.03721618652344,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
49,163.97323608398438,172.05892944335938,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
50,163.3096923828125,171.14544677734375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
51,162.68785095214844,170.2909393310547,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
52,162.1309356689453,169.50111389160156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
53,161.6132354736328,168.7711181640625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
54,161.138671875,168.09486389160156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
55,160.6829376220703,167.45620727539062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
56,160.2640838623047,166.85472106933594,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
57,159.86651611328125,166.29310607910156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
58,159.5037841796875,165.769287109375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
59,159.17584228515625,165.2900848388672,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
60,158.8668212890625,164.83712768554688,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
61,158.57713317871094,164.41041564941406,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
62,158.32215881347656,164.02157592773438,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
63,158.053955078125,163.6403045654297,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
64,157.826171875,163.29440307617188,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
65,157.60458374023438,162.97244262695312,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
66,157.4020233154297,162.66128540039062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
67,157.19239807128906,162.36062622070312,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
68,157.02127075195312,162.09951782226562,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
69,156.8524169921875,161.84730529785156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
70,156.6866455078125,161.61065673828125,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
71,156.5188446044922,161.3668670654297,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
72,156.38064575195312,161.15504455566406,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
73,156.2350616455078,160.9566192626953,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
74,156.11468505859375,160.77674865722656,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
75,155.9763946533203,160.58726501464844,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
76,155.83624267578125,160.39321899414062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
77,155.72030639648438,160.22705078125,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
78,155.591796875,160.06761169433594,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
79,155.49093627929688,159.93002319335938,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
80,155.3831329345703,159.78890991210938,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
81,155.2939453125,159.66983032226562,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
82,155.20950317382812,159.55677795410156,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
83,155.1161651611328,159.44126892089844,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
84,155.00927734375,159.3218231201172,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
85,154.91705322265625,159.2142333984375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
86,154.82334899902344,159.10623168945312,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
87,154.72267150878906,158.994384765625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
88,154.6329803466797,158.89111328125,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
89,154.541015625,158.78689575195312,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
90,154.44764709472656,158.7000274658203,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
91,154.36135864257812,158.61642456054688,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
92,154.2847442626953,158.5413818359375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
93,154.20928955078125,158.46292114257812,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
94,154.11598205566406,158.38134765625,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
95,154.05039978027344,158.3162841796875,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
96,153.9720916748047,158.25082397460938,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
97,153.90274047851562,158.18055725097656,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
98,153.8358612060547,158.1144561767578,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
99,153.7717742919922,158.06216430664062,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
100,153.68919372558594,157.99327087402344,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
101,153.61123657226562,157.92990112304688,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
102,153.53208923339844,157.8715057373047,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
103,153.4450225830078,157.82119750976562,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
104,153.37168884277344,157.76846313476562,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
105,153.31777954101562,157.722412109375,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
106,153.27589416503906,157.6774444580078,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
107,153.23468017578125,157.6367950439453,model_20210831-022422-c3fdb69ccf-2091d51646,model_20210831-022422-c3fdb69ccf
