,train_summaries,test_summaries,trial_id,parent_study_id
0,827.68994140625,775.2533569335938,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
1,753.701904296875,707.001708984375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
2,687.3042602539062,645.7134399414062,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
3,627.8067016601562,590.7117309570312,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
4,574.5298461914062,541.451904296875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
5,526.9583740234375,497.4046325683594,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
6,484.5874938964844,458.02825927734375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
7,446.8555908203125,422.9145812988281,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
8,413.430908203125,391.7332458496094,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
9,383.844970703125,364.05340576171875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
10,357.7561340332031,339.54443359375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
11,334.85687255859375,317.9664001464844,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
12,314.8357849121094,298.96160888671875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
13,297.3407897949219,282.2511291503906,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
14,282.19561767578125,267.67108154296875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
15,269.0856018066406,254.93463134765625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
16,257.7177734375,243.84014892578125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
17,248.03736877441406,234.28350830078125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
18,239.63351440429688,225.96316528320312,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
19,232.5092315673828,218.80474853515625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
20,226.5628662109375,212.72189331054688,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
21,221.24913024902344,207.32591247558594,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
22,216.86685180664062,202.7540740966797,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
23,213.125,198.79588317871094,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
24,209.7763671875,195.329345703125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
25,207.0867919921875,192.44703674316406,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
26,204.7345428466797,189.9287872314453,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
27,202.76577758789062,187.78091430664062,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
28,201.06668090820312,185.9462432861328,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
29,199.6796417236328,184.35247802734375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
30,198.40760803222656,182.92283630371094,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
31,197.07522583007812,181.51914978027344,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
32,196.04075622558594,180.41058349609375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
33,195.1723175048828,179.45962524414062,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
34,194.37892150878906,178.601806640625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
35,193.68565368652344,177.85382080078125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
36,192.97958374023438,177.14341735839844,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
37,192.44891357421875,176.56253051757812,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
38,191.80397033691406,175.94229125976562,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
39,191.35293579101562,175.47799682617188,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
40,190.87893676757812,175.05616760253906,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
41,190.3901824951172,174.60902404785156,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
42,190.05343627929688,174.28392028808594,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
43,189.73348999023438,173.92684936523438,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
44,189.41058349609375,173.67959594726562,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
45,189.08834838867188,173.43019104003906,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
46,188.54713439941406,173.0443115234375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
47,188.30764770507812,172.8521270751953,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
48,188.01979064941406,172.6329345703125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
49,187.63575744628906,172.39999389648438,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
50,187.42068481445312,172.22935485839844,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
51,187.0928955078125,172.02783203125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
52,186.6688995361328,171.79296875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
53,186.453369140625,171.64852905273438,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
54,186.2640380859375,171.4946746826172,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
55,185.93386840820312,171.27108764648438,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
56,185.68190002441406,171.10679626464844,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
57,185.4973602294922,170.97804260253906,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
58,185.21629333496094,170.82447814941406,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
59,185.09454345703125,170.7342529296875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
60,184.8206024169922,170.56448364257812,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
61,184.5802001953125,170.4555206298828,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
62,184.4277801513672,170.35118103027344,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
63,184.24942016601562,170.27899169921875,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
64,184.0817413330078,170.20851135253906,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
65,183.93568420410156,170.1627655029297,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
66,183.8499755859375,170.10653686523438,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
67,183.68035888671875,170.02325439453125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
68,183.51730346679688,169.94761657714844,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
69,183.33970642089844,169.8484344482422,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
70,183.20956420898438,169.7893524169922,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
71,183.1185302734375,169.72348022460938,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
72,182.93453979492188,169.60580444335938,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
73,182.79547119140625,169.56109619140625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
74,182.66259765625,169.4840850830078,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
75,182.45066833496094,169.39100646972656,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
76,182.39199829101562,169.3564910888672,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
77,182.2645263671875,169.2920379638672,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
78,182.0598907470703,169.22067260742188,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
79,181.91934204101562,169.13626098632812,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
80,181.8013916015625,169.07101440429688,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
81,181.7044677734375,169.02908325195312,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
82,181.6042938232422,168.97198486328125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
83,181.43475341796875,168.9083251953125,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
84,181.31605529785156,168.85096740722656,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
85,181.21929931640625,168.7947540283203,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
86,181.12884521484375,168.7603759765625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
87,180.99388122558594,168.68948364257812,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
88,180.9009552001953,168.6360626220703,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
89,180.8367919921875,168.6058349609375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
90,180.6275177001953,168.51077270507812,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
91,180.53770446777344,168.46685791015625,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
92,180.45787048339844,168.4262237548828,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
93,180.38490295410156,168.38990783691406,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
94,180.29428100585938,168.34031677246094,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
95,180.1934814453125,168.30123901367188,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
96,180.00558471679688,168.2363739013672,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
97,179.9593505859375,168.21461486816406,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
98,179.89976501464844,168.18496704101562,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
99,179.8400115966797,168.1537628173828,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
100,179.78350830078125,168.1238250732422,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
101,179.5881805419922,168.054443359375,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
102,179.5028076171875,168.00625610351562,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
103,179.4098663330078,167.95643615722656,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
104,179.33055114746094,167.9223175048828,model_20210831-070324-c1169d672c-b3199a97bb,model_20210831-070324-c1169d672c
