,train_summaries,test_summaries,trial_id,parent_study_id
0,851.6243896484375,805.4390869140625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
1,810.1537475585938,766.79345703125,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
2,770.9507446289062,730.25048828125,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
3,733.904052734375,695.7029418945312,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
4,698.915283203125,663.0475463867188,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
5,665.8663940429688,632.2069091796875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
6,634.6488647460938,603.072265625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
7,605.2005004882812,575.5479125976562,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
8,577.4114379882812,549.5869140625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
9,551.220703125,525.1022338867188,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
10,526.5288696289062,501.9710693359375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
11,503.3042297363281,480.2090759277344,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
12,481.4121398925781,459.6808166503906,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
13,460.8333435058594,440.368408203125,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
14,441.5191955566406,422.22412109375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
15,423.3507080078125,405.12493896484375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
16,406.3153076171875,389.0836181640625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
17,390.322509765625,374.01336669921875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
18,375.36285400390625,359.8876647949219,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
19,361.37933349609375,346.65789794921875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
20,348.30755615234375,334.26947021484375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
21,336.0700378417969,322.63519287109375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
22,324.6595153808594,311.78155517578125,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
23,314.0067138671875,301.63671875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
24,304.0976257324219,292.16229248046875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
25,294.8625183105469,283.3202819824219,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
26,286.27667236328125,275.0712890625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
27,278.33331298828125,267.39990234375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
28,270.94378662109375,260.2579650878906,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
29,264.1163330078125,253.62660217285156,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
30,257.758056640625,247.4418182373047,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
31,251.90211486816406,241.72030639648438,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
32,246.47647094726562,236.4022216796875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
33,241.4823760986328,231.46826171875,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
34,236.8427276611328,226.89234924316406,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
35,232.60964965820312,222.6678924560547,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
36,228.70921325683594,218.77085876464844,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
37,225.12228393554688,215.17337036132812,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
38,221.8534698486328,211.87152099609375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
39,218.8340606689453,208.80172729492188,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
40,216.05905151367188,205.9697265625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
41,213.50857543945312,203.3516387939453,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
42,211.15420532226562,200.93072509765625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
43,209.00283813476562,198.71148681640625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
44,206.91966247558594,196.5865020751953,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
45,205.09336853027344,194.6947784423828,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
46,203.338134765625,192.88168334960938,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
47,201.75970458984375,191.23849487304688,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
48,200.297119140625,189.71937561035156,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
49,198.97288513183594,188.32862854003906,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
50,197.7451934814453,187.04360961914062,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
51,196.59170532226562,185.83509826660156,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
52,195.52088928222656,184.70350646972656,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
53,194.50579833984375,183.65032958984375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
54,193.5739288330078,182.67572021484375,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
55,192.71884155273438,181.7779541015625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
56,191.94921875,180.95802307128906,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
57,191.2127685546875,180.17306518554688,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
58,190.54225158691406,179.46629333496094,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
59,189.9147491455078,178.79808044433594,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
60,189.29025268554688,178.14797973632812,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
61,188.71566772460938,177.5539093017578,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
62,188.17376708984375,176.99636840820312,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
63,187.65579223632812,176.4791259765625,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
64,187.171875,175.99038696289062,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
65,186.7210235595703,175.54345703125,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
66,186.3231658935547,175.13211059570312,model_20210831-214334-5eae9192bb-e65b0d8442,model_20210831-214334-5eae9192bb
