,train_summaries,test_summaries,trial_id,parent_study_id
0,676.6216430664062,699.5264282226562,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
1,644.38330078125,667.2127685546875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
2,613.9451293945312,636.6953735351562,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
3,585.2305908203125,607.881103515625,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
4,558.1485595703125,580.7042236328125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
5,532.6137084960938,555.0448608398438,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
6,508.5665283203125,530.865966796875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
7,485.9162292480469,508.0729064941406,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
8,464.596923828125,486.59344482421875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
9,444.5594177246094,466.37615966796875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
10,425.7286682128906,447.35333251953125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
11,408.0427551269531,429.46026611328125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
12,391.4626159667969,412.6471252441406,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
13,375.9148254394531,396.8537902832031,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
14,361.35772705078125,382.0377197265625,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
15,347.7410888671875,368.15301513671875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
16,335.0095520019531,355.1312561035156,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
17,323.1221618652344,342.9360046386719,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
18,312.0263671875,331.52569580078125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
19,301.7036437988281,320.86358642578125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
20,292.1017150878906,310.9067687988281,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
21,283.17041015625,301.6150817871094,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
22,274.893310546875,292.9593200683594,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
23,267.2138671875,284.8921203613281,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
24,260.1073913574219,277.3887939453125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
25,253.53041076660156,270.3955993652344,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
26,247.45814514160156,263.91717529296875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
27,241.84158325195312,257.8714294433594,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
28,236.67166137695312,252.27850341796875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
29,231.8920440673828,247.08456420898438,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
30,227.52438354492188,242.28338623046875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
31,223.49571228027344,237.83352661132812,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
32,219.8170623779297,233.727294921875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
33,216.45761108398438,229.9297332763672,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
34,213.35572814941406,226.41075134277344,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
35,210.53431701660156,223.16734313964844,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
36,207.9537353515625,220.16830444335938,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
37,205.58018493652344,217.40005493164062,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
38,203.4110107421875,214.8389129638672,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
39,201.4230499267578,212.4744873046875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
40,199.63304138183594,210.3061981201172,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
41,197.990478515625,208.30259704589844,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
42,196.50155639648438,206.45449829101562,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
43,195.1169891357422,204.740234375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
44,193.8729705810547,203.16506958007812,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
45,192.71018981933594,201.69198608398438,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
46,191.66383361816406,200.34661865234375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
47,190.70162963867188,199.10128784179688,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
48,189.8527374267578,197.9650421142578,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
49,189.04908752441406,196.90670776367188,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
50,188.32293701171875,195.9189453125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
51,187.6494140625,195.0123748779297,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
52,187.03347778320312,194.168701171875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
53,186.41395568847656,193.35296630859375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
54,185.89785766601562,192.63302612304688,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
55,185.4215087890625,191.962646484375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
56,184.99046325683594,191.33628845214844,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
57,184.51516723632812,190.705078125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
58,184.14736938476562,190.17706298828125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
59,183.81922912597656,189.6844940185547,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
60,183.50686645507812,189.22596740722656,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
61,183.15420532226562,188.75086975097656,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
62,182.8798828125,188.35020446777344,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
63,182.608642578125,187.9627685546875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
64,182.37664794921875,187.6141357421875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
65,182.15370178222656,187.2888641357422,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
66,181.91624450683594,186.96432495117188,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
67,181.72756958007812,186.681396484375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
68,181.54837036132812,186.40478515625,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
69,181.35250854492188,186.134521484375,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
70,181.18667602539062,185.896728515625,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
71,181.0128631591797,185.6614532470703,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
72,180.8475341796875,185.43751525878906,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
73,180.7117462158203,185.24234008789062,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
74,180.5538787841797,185.03660583496094,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
75,180.4374542236328,184.86868286132812,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
76,180.28521728515625,184.68165588378906,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
77,180.1686248779297,184.52101135253906,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
78,180.06854248046875,184.37741088867188,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
79,179.9471893310547,184.22218322753906,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
80,179.8368682861328,184.090576171875,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
81,179.73316955566406,183.95782470703125,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
82,179.64974975585938,183.8465118408203,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
83,179.5475311279297,183.7268829345703,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
84,179.4434356689453,183.6215362548828,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
85,179.35366821289062,183.51866149902344,model_20210901-162753-2710ede160-6b539109c1,model_20210901-162753-2710ede160
