,train_summaries,test_summaries,trial_id,parent_study_id
0,649.170166015625,675.9722900390625,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
1,601.29150390625,627.3418579101562,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
2,557.6101684570312,582.9730834960938,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
3,517.795166015625,542.4720458984375,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
4,481.5670471191406,505.5556335449219,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
5,448.6299133300781,471.9655456542969,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
6,418.7599182128906,441.45574951171875,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
7,391.70391845703125,413.7343444824219,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
8,367.2433776855469,388.6334228515625,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
9,345.1617736816406,365.919921875,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
10,325.3243408203125,345.4029541015625,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
11,307.5071716308594,326.9375305175781,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
12,291.5372314453125,310.2903137207031,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
13,277.2792053222656,295.3581848144531,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
14,264.5850524902344,281.9896240234375,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
15,253.31336975097656,270.0372619628906,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
16,243.34193420410156,259.3785400390625,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
17,234.5196533203125,249.88516235351562,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
18,226.73220825195312,241.4212188720703,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
19,219.8955535888672,233.91514587402344,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
20,213.86996459960938,227.2581329345703,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
21,208.63211059570312,221.37828063964844,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
22,204.02487182617188,216.1586456298828,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
23,199.99851989746094,211.54750061035156,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
24,196.52638244628906,207.51547241210938,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
25,193.490234375,203.91629028320312,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
26,190.83840942382812,200.77069091796875,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
27,188.52761840820312,197.982177734375,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
28,186.499755859375,195.4995880126953,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
29,184.7052459716797,193.28659057617188,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
30,183.1490936279297,191.3354949951172,model_20210902-172514-63d6f10954-5c403b979d,model_20210902-172514-63d6f10954
