,train_summaries,test_summaries,trial_id,parent_study_id
0,696.8453979492188,699.5081176757812,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
1,634.9673461914062,639.6032104492188,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
2,579.912841796875,586.1854248046875,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
3,531.0445556640625,538.6739501953125,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
4,487.7584228515625,496.482177734375,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
5,449.54547119140625,459.11328125,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
6,415.9089050292969,426.0819396972656,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
7,386.4304504394531,396.9801940917969,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
8,360.6972961425781,371.3885192871094,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
9,338.2990417480469,348.97100830078125,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
10,318.90673828125,329.4000244140625,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
11,302.2038879394531,312.3520202636719,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
12,287.8664855957031,297.5516052246094,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
13,275.60015869140625,284.7209167480469,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
14,265.1865539550781,273.6470642089844,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
15,256.3835144042969,264.10382080078125,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
16,248.94314575195312,255.90074157714844,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
17,242.61727905273438,248.8417510986328,model_20210902-173538-2eaff3dc15-90adb08ef6,model_20210902-173538-2eaff3dc15
