,train_summaries,test_summaries,trial_id,parent_study_id
0,708.2605590820312,710.558349609375,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
1,655.5206298828125,659.4893798828125,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
2,607.6038208007812,613.0501098632812,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
3,564.1508178710938,570.8480224609375,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
4,524.7926635742188,532.5645141601562,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
5,489.2003173828125,497.872314453125,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
6,457.0990295410156,466.5022888183594,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
7,428.1914978027344,438.1500244140625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
8,402.2386474609375,412.5975036621094,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
9,378.998779296875,389.6040344238281,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
10,358.23626708984375,368.9578552246094,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
11,339.748291015625,350.4389953613281,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
12,323.3536071777344,333.89373779296875,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
13,308.85784912109375,319.1427307128906,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
14,296.050537109375,305.9835205078125,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
15,284.78131103515625,294.3045959472656,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
16,274.8956604003906,283.92681884765625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
17,266.2594299316406,274.73858642578125,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
18,258.7284851074219,266.6205749511719,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
19,252.1597137451172,259.4356994628906,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
20,246.4422149658203,253.1099853515625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
21,241.4665985107422,247.5278778076172,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
22,237.15745544433594,242.5984344482422,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
23,233.41122436523438,238.25588989257812,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
24,230.19073486328125,234.4412841796875,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
25,227.37265014648438,231.07427978515625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
26,224.94927978515625,228.11422729492188,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
27,222.84725952148438,225.50054931640625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
28,221.04483032226562,223.20745849609375,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
29,219.4604034423828,221.16378784179688,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
30,218.05368041992188,219.34207153320312,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
31,216.82574462890625,217.73681640625,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
32,215.74859619140625,216.30642700195312,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
33,214.7772979736328,215.0304718017578,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
34,213.9591064453125,213.89895629882812,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
35,213.208984375,212.8792266845703,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
36,212.54808044433594,211.98182678222656,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
37,211.9492645263672,211.17477416992188,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
38,211.42323303222656,210.45252990722656,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
39,210.95677185058594,209.81002807617188,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
40,210.5425567626953,209.2367706298828,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
41,210.13418579101562,208.6999053955078,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
42,209.76348876953125,208.21177673339844,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
43,209.44419860839844,207.77883911132812,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
44,209.1286163330078,207.37179565429688,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
45,208.8600311279297,207.0105743408203,model_20210902-173538-2eaff3dc15-9bfbe36839,model_20210902-173538-2eaff3dc15
