,train_summaries,test_summaries,trial_id,parent_study_id
0,795.9771118164062,789.7832641601562,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
1,731.6325073242188,727.8672485351562,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
2,673.16748046875,671.5604248046875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
3,620.111083984375,620.4586791992188,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
4,571.9971313476562,574.0490112304688,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
5,528.4073486328125,531.9973754882812,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
6,489.0197448730469,493.86529541015625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
7,453.4375,459.425537109375,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
8,421.3778991699219,428.33154296875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
9,392.55828857421875,400.2958984375,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
10,366.6967468261719,375.04461669921875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
11,343.51898193359375,352.34130859375,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
12,322.84381103515625,332.00469970703125,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
13,304.41754150390625,313.7973327636719,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
14,288.0656433105469,297.5646057128906,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
15,273.5953063964844,283.0915832519531,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
16,260.8408508300781,270.24810791015625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
17,249.5796356201172,258.85284423828125,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
18,239.7086944580078,248.75076293945312,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
19,231.0680694580078,239.89569091796875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
20,223.42250061035156,232.0076904296875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
21,216.75270080566406,225.07846069335938,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
22,210.92312622070312,218.90164184570312,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
23,205.8912353515625,213.55722045898438,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
24,201.41952514648438,208.81124877929688,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
25,197.55279541015625,204.66127014160156,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
26,194.1446990966797,201.00039672851562,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
27,191.14907836914062,197.7987823486328,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
28,188.4748992919922,194.92161560058594,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
29,186.10853576660156,192.39529418945312,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
30,184.08102416992188,190.1687469482422,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
31,182.38157653808594,188.25453186035156,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
32,180.74586486816406,186.51023864746094,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
33,179.4030303955078,185.00885009765625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
34,178.12747192382812,183.67967224121094,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
35,177.00277709960938,182.46510314941406,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
36,175.90338134765625,181.38516235351562,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
37,174.9126434326172,180.44088745117188,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
38,174.0712127685547,179.6221160888672,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
39,173.2745819091797,178.85617065429688,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
40,172.5038604736328,178.1893310546875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
41,171.83016967773438,177.58621215820312,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
42,171.22930908203125,177.04861450195312,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
43,170.66839599609375,176.5392303466797,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
44,170.0107879638672,176.058837890625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
45,169.53765869140625,175.6688995361328,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
46,169.10423278808594,175.29254150390625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
47,168.5847625732422,174.9269561767578,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
48,168.12924194335938,174.58932495117188,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
49,167.58543395996094,174.27845764160156,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
50,167.24559020996094,174.0155487060547,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
51,166.9462890625,173.7823944091797,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
52,166.5616912841797,173.5615997314453,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
53,166.2440185546875,173.38291931152344,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
54,165.87062072753906,173.16949462890625,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
55,165.5561981201172,172.99871826171875,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
56,165.26805114746094,172.82369995117188,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
57,164.862548828125,172.65621948242188,model_20210903-125809-a617a16b98-85ceaac179,model_20210903-125809-a617a16b98
