,train_summaries,test_summaries,trial_id,parent_study_id
0,804.3161010742188,833.62109375,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
1,740.4734497070312,770.4636840820312,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
2,682.3843383789062,712.91015625,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
3,629.6084594726562,660.648193359375,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
4,581.65673828125,613.0584716796875,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
5,538.2158203125,569.9601440429688,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
6,498.8537902832031,530.8365478515625,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
7,463.2660827636719,495.347900390625,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
8,431.1420593261719,463.285888671875,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
9,402.2160949707031,434.3185119628906,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
10,376.2372131347656,408.2562255859375,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
11,352.8973388671875,384.7050476074219,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
12,332.0582580566406,363.60870361328125,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
13,313.4855651855469,344.6484375,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
14,296.9359436035156,327.65545654296875,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
15,282.20819091796875,312.3900451660156,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
16,269.2676696777344,298.8694763183594,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
17,257.7969055175781,286.6991271972656,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
18,247.7431182861328,275.94720458984375,model_20210903-164420-46493a402c-369c5474fb,model_20210903-164420-46493a402c
