,train_summaries,test_summaries,trial_id,parent_study_id
0,822.2271118164062,851.6526489257812,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
1,773.8355102539062,803.7740478515625,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
2,728.6740112304688,759.0379028320312,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
3,686.5204467773438,717.2822875976562,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
4,647.2180786132812,678.3289794921875,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
5,610.5765380859375,642.0055541992188,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
6,576.4456176757812,608.1438598632812,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
7,544.6429443359375,576.551025390625,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
8,515.092041015625,547.1597900390625,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
9,487.5830383300781,519.7882080078125,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
10,462.0675354003906,494.3967590332031,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
11,438.3636169433594,470.72479248046875,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
12,416.40887451171875,448.7969665527344,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
13,396.0920715332031,428.4353942871094,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
14,377.2818908691406,409.5648498535156,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
15,359.9143371582031,392.0620422363281,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
16,343.8857421875,375.9076843261719,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
17,329.1314697265625,360.9099426269531,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
18,315.5552978515625,347.0785217285156,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
19,303.0884704589844,334.26788330078125,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
20,291.68450927734375,322.50433349609375,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
21,281.2313232421875,311.6531066894531,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
22,271.691650390625,301.67645263671875,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
23,262.9367370605469,292.45928955078125,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
24,255.00148010253906,284.0315246582031,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
25,247.79452514648438,276.29803466796875,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
26,241.2198486328125,269.17108154296875,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
27,235.2803497314453,262.6703796386719,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
28,229.86305236816406,256.6835021972656,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
29,224.99952697753906,251.2672576904297,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
30,220.59732055664062,246.2687530517578,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
31,216.5758819580078,241.6690673828125,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
32,213.01307678222656,237.54115295410156,model_20210903-164902-41873099d4-b5dd9a71d3,model_20210903-164902-41873099d4
