,train_summaries,test_summaries,trial_id,parent_study_id
0,678.6595458984375,717.5084228515625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
1,641.7418823242188,681.1162109375,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
2,607.112548828125,646.9838256835938,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
3,574.6500854492188,614.9749145507812,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
4,544.2272338867188,584.9651489257812,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
5,515.7329711914062,556.8684692382812,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
6,489.0550231933594,530.5611572265625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
7,464.091796875,505.91986083984375,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
8,440.73358154296875,482.8599853515625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
9,418.9063415527344,461.296875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
10,398.5434875488281,441.1734619140625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
11,379.5394287109375,422.3839111328125,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
12,361.82958984375,404.82733154296875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
13,345.34136962890625,388.4613342285156,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
14,330.0267639160156,373.22576904296875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
15,315.7478332519531,359.0073547363281,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
16,302.50335693359375,345.79217529296875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
17,290.2303771972656,333.5009765625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
18,278.8785705566406,322.06378173828125,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
19,268.3730163574219,311.4734802246094,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
20,258.6773376464844,301.61798095703125,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
21,249.7464141845703,292.5100402832031,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
22,241.48751831054688,284.0400085449219,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
23,233.90122985839844,276.18572998046875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
24,226.9497833251953,268.9604187011719,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
25,220.5675506591797,262.2574768066406,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
26,214.7198486328125,256.03985595703125,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
27,209.33102416992188,250.2943115234375,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
28,204.41749572753906,244.99383544921875,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
29,199.9392547607422,240.10208129882812,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
30,195.86732482910156,235.60411071777344,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
31,192.1070098876953,231.42356872558594,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
32,188.7046661376953,227.58738708496094,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
33,185.6153106689453,224.0422821044922,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
34,182.8069610595703,220.78323364257812,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
35,180.2488250732422,217.74594116210938,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
36,177.9293212890625,214.97274780273438,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
37,175.80419921875,212.39454650878906,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
38,173.89093017578125,210.03396606445312,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
39,172.1630401611328,207.84786987304688,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
40,170.59190368652344,205.84434509277344,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
41,169.15794372558594,203.97879028320312,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
42,167.82167053222656,202.2623291015625,model_20210906-073021-466b3123d4-3bc0c2abf1,model_20210906-073021-466b3123d4
