,train_summaries,test_summaries,trial_id,parent_study_id
0,711.5921020507812,722.8392333984375,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
1,656.33740234375,670.4705200195312,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
2,606.1669311523438,622.9032592773438,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
3,560.667236328125,579.6937255859375,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
4,519.4515991210938,540.526123046875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
5,482.19256591796875,505.02789306640625,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
6,448.56317138671875,472.9327087402344,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
7,418.2770690917969,443.9472961425781,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
8,391.0355529785156,417.8110046386719,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
9,366.64324951171875,394.2784729003906,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
10,344.8410949707031,373.13671875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
11,325.3791198730469,354.1383056640625,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
12,308.08026123046875,337.1123352050781,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
13,292.77044677734375,321.904296875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
14,279.246826171875,308.3281555175781,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
15,267.36053466796875,296.2261962890625,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
16,256.94708251953125,285.4615783691406,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
17,247.82528686523438,275.91131591796875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
18,239.8927764892578,267.44525146484375,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
19,232.96151733398438,259.9393615722656,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
20,226.92730712890625,253.2481231689453,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
21,221.7165985107422,247.33432006835938,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
22,217.22509765625,242.14276123046875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
23,213.34661865234375,237.52957153320312,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
24,209.9932403564453,233.434326171875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
25,207.1085968017578,229.81338500976562,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
26,204.58457946777344,226.59194946289062,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
27,202.427490234375,223.7428436279297,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
28,200.5639190673828,221.23214721679688,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
29,198.96652221679688,218.9946746826172,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
30,197.58145141601562,216.99993896484375,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
31,196.38648986816406,215.2240753173828,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
32,195.33763122558594,213.63230895996094,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
33,194.40542602539062,212.1982879638672,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
34,193.6106414794922,210.9214324951172,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
35,192.87637329101562,209.7559051513672,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
36,192.2552032470703,208.7194061279297,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
37,191.67544555664062,207.7798309326172,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
38,191.18052673339844,206.95359802246094,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
39,190.73080444335938,206.1924591064453,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
40,190.30613708496094,205.49961853027344,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
41,189.94244384765625,204.85980224609375,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
42,189.60279846191406,204.28289794921875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
43,189.2974395751953,203.75535583496094,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
44,189.00514221191406,203.29747009277344,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
45,188.73583984375,202.85873413085938,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
46,188.5103759765625,202.45921325683594,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
47,188.2841033935547,202.08535766601562,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
48,188.0510711669922,201.7369384765625,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
49,187.8516082763672,201.41160583496094,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
50,187.63128662109375,201.10623168945312,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
51,187.44253540039062,200.8084716796875,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
52,187.2279815673828,200.54782104492188,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
53,187.03268432617188,200.31410217285156,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
54,186.85633850097656,200.10557556152344,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
55,186.67086791992188,199.8780975341797,model_20210906-104137-76b68cd3f6-f917824411,model_20210906-104137-76b68cd3f6
