,train_summaries,test_summaries,trial_id,parent_study_id
0,672.6322021484375,768.6161499023438,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
1,622.6363525390625,714.5354614257812,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
2,576.9642333984375,665.1082153320312,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
3,535.2879028320312,619.9506225585938,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
4,497.3056640625,578.738037109375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
5,462.7359619140625,541.1937255859375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
6,431.3169860839844,506.9975891113281,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
7,402.8216247558594,475.91156005859375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
8,377.0185852050781,447.68572998046875,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
9,353.6991882324219,422.0773620605469,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
10,332.685546875,398.89190673828125,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
11,313.7705993652344,377.9263000488281,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
12,296.8060607910156,359.01361083984375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
13,281.6389465332031,341.9696960449219,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
14,268.0938415527344,326.6264953613281,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
15,256.04730224609375,312.8409118652344,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
16,245.360107421875,300.491943359375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
17,235.9216766357422,289.4468994140625,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
18,227.5657958984375,279.5406799316406,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
19,220.27713012695312,270.7392578125,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
20,213.8755645751953,262.88201904296875,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
21,208.28749084472656,255.89306640625,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
22,203.40245056152344,249.67181396484375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
23,199.14881896972656,244.12913513183594,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
24,195.44117736816406,239.19723510742188,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
25,192.24002075195312,234.82579040527344,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
26,189.44911193847656,230.91867065429688,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
27,187.0409698486328,227.4636688232422,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
28,184.95851135253906,224.37994384765625,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
29,183.15756225585938,221.6351318359375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
30,181.61013793945312,219.214599609375,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
31,180.24681091308594,217.0279083251953,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
32,179.08349609375,215.0987091064453,model_20210906-105221-1200dc0f72-d42858c049,model_20210906-105221-1200dc0f72
