,train_summaries,test_summaries,trial_id,parent_study_id
0,595.31298828125,610.9960327148438,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
1,551.3623657226562,567.5086669921875,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
2,511.2718200683594,527.7924194335938,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
3,474.7409973144531,491.5820007324219,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
4,441.512451171875,458.56982421875,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
5,411.2909240722656,428.5260009765625,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
6,383.90899658203125,401.20281982421875,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
7,359.101806640625,376.4142150878906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
8,336.6693420410156,353.9141845703125,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
9,316.477294921875,333.5908508300781,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
10,298.3032531738281,315.2013244628906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
11,281.98486328125,298.625732421875,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
12,267.3706970214844,283.6896057128906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
13,254.33261108398438,270.26519775390625,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
14,242.78213500976562,258.2451171875,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
15,232.50738525390625,247.48062133789062,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
16,223.41969299316406,237.84547424316406,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
17,215.4309539794922,229.29591369628906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
18,208.4061737060547,221.671630859375,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
19,202.2194061279297,214.8638916015625,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
20,196.81063842773438,208.81138610839844,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
21,192.09417724609375,203.4514923095703,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
22,187.98289489746094,198.69036865234375,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
23,184.39697265625,194.4952850341797,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
24,181.26771545410156,190.76837158203125,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
25,178.52183532714844,187.46376037597656,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
26,176.19073486328125,184.54379272460938,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
27,174.1538543701172,181.94679260253906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
28,172.32395935058594,179.6121063232422,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
29,170.7612762451172,177.5751495361328,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
30,169.40478515625,175.7496795654297,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
31,168.177490234375,174.10304260253906,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
32,167.14556884765625,172.66041564941406,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
33,166.19113159179688,171.36685180664062,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
34,165.34913635253906,170.20123291015625,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
35,164.6349639892578,169.15765380859375,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
36,163.99295043945312,168.2238006591797,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
37,163.43431091308594,167.4017333984375,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
38,162.93997192382812,166.65635681152344,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
39,162.50762939453125,165.98419189453125,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
40,162.104736328125,165.36595153808594,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
41,161.75277709960938,164.8142547607422,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
42,161.41200256347656,164.30670166015625,model_20210907-221233-cbea0563f7-d2b962a94f,model_20210907-221233-cbea0563f7
