,train_summaries,test_summaries,trial_id,parent_study_id
0,852.4078369140625,863.854736328125,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
1,810.9100341796875,824.1130981445312,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
2,771.7092895507812,786.5665893554688,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
3,734.7182006835938,751.1465454101562,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
4,699.8162841796875,717.6915283203125,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
5,666.9076538085938,686.1402587890625,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
6,635.88232421875,656.3723754882812,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
7,606.6483764648438,628.3131103515625,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
8,579.1021118164062,601.87109375,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
9,553.1944580078125,576.9620361328125,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
10,528.8094482421875,553.5228881835938,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
11,505.88037109375,531.4486083984375,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
12,484.3328552246094,510.7054748535156,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
13,464.0885925292969,491.1876525878906,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
14,445.1263732910156,472.8635559082031,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
15,427.3554382324219,455.6291198730469,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
16,410.7204895019531,439.492919921875,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
17,395.1733093261719,424.34906005859375,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
18,380.59844970703125,410.1379089355469,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
19,367.0081787109375,396.8293151855469,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
20,354.3135070800781,384.377685546875,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
21,342.4985046386719,372.7479248046875,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
22,331.508544921875,361.86102294921875,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
23,321.27471923828125,351.6996154785156,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
24,311.77508544921875,342.1912841796875,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
25,302.9823913574219,333.3432312011719,model_20210907-223442-039e838d44-6d1fe4c835,model_20210907-223442-039e838d44
