,train_summaries,test_summaries,trial_id,parent_study_id
0,720.2673950195312,754.8151245117188,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
1,678.4749145507812,713.7074584960938,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
2,639.6803588867188,675.4981079101562,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
3,603.662109375,640.00341796875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
4,570.283447265625,607.0728759765625,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
5,539.35888671875,576.530029296875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
6,510.7818908691406,548.1995849609375,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
7,484.3510437011719,521.9630126953125,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
8,459.9905700683594,497.6822509765625,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
9,437.5081481933594,475.24755859375,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
10,416.8388977050781,454.5123291015625,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
11,397.87835693359375,435.4026184082031,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
12,380.4798889160156,417.7614440917969,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
13,364.5592346191406,401.5264892578125,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
14,349.9857482910156,386.5975646972656,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
15,336.7050476074219,372.8882141113281,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
16,324.6138000488281,360.2919006347656,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
17,313.63525390625,348.7584533691406,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
18,303.66632080078125,338.1729736328125,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
19,294.6443176269531,328.4956970214844,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
20,286.47705078125,319.6422424316406,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
21,279.1350402832031,311.5503845214844,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
22,272.5038757324219,304.1492614746094,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
23,266.53826904296875,297.3896484375,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
24,261.2097473144531,291.23602294921875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
25,256.42071533203125,285.6264343261719,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
26,252.1287078857422,280.511474609375,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
27,248.2720947265625,275.8463439941406,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
28,244.7976837158203,271.5623474121094,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
29,241.71571350097656,267.68182373046875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
30,238.95620727539062,264.14080810546875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
31,236.47923278808594,260.914794921875,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
32,234.2727508544922,257.9707946777344,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
33,232.26763916015625,255.24917602539062,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
34,230.51673889160156,252.8013458251953,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
35,228.92604064941406,250.54954528808594,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
36,227.50823974609375,248.4879913330078,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
37,226.2371368408203,246.6156005859375,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
38,225.09408569335938,244.88319396972656,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
39,224.0456085205078,243.2855987548828,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
40,223.130126953125,241.83499145507812,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
41,222.27212524414062,240.48434448242188,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
42,221.52659606933594,239.26565551757812,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
43,220.83717346191406,238.12071228027344,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
44,220.21051025390625,237.07801818847656,model_20210907-230345-d3397d7b93-82ec40429f,model_20210907-230345-d3397d7b93
