,train_summaries,test_summaries,trial_id,parent_study_id
0,703.2777099609375,738.179931640625,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
1,647.3509521484375,683.2254638671875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
2,596.9733276367188,633.6244506835938,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
3,551.6167602539062,588.915771484375,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
4,510.8714904785156,548.661865234375,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
5,474.3749694824219,512.4840087890625,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
6,441.775390625,480.0503234863281,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
7,412.708740234375,450.9880065917969,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
8,386.91131591796875,425.0054626464844,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
9,364.0438537597656,401.8309326171875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
10,343.8559875488281,381.17236328125,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
11,326.1104431152344,362.8291931152344,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
12,310.5672302246094,346.56756591796875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
13,297.01123046875,332.16680908203125,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
14,285.1932373046875,319.43536376953125,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
15,274.9642028808594,308.2060546875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
16,266.1195983886719,298.3055114746094,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
17,258.4900817871094,289.59490966796875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
18,251.9503936767578,281.93426513671875,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
19,246.34324645996094,275.19317626953125,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
20,241.5320281982422,269.2654724121094,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
21,237.40719604492188,264.0617980957031,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
22,233.88296508789062,259.4918212890625,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
23,230.8441925048828,255.44215393066406,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
24,228.263427734375,251.8829345703125,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
25,226.0604248046875,248.75730895996094,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
26,224.146484375,245.99029541015625,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
27,222.47836303710938,243.5275421142578,model_20210907-230345-d3397d7b93-9db72b33b7,model_20210907-230345-d3397d7b93
