,train_summaries,test_summaries,trial_id,parent_study_id
0,841.8256225585938,852.6102294921875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
1,800.9313354492188,813.3355102539062,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
2,762.2734985351562,776.1817016601562,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
3,725.7338256835938,741.048583984375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
4,691.2137451171875,707.844970703125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
5,658.6002197265625,676.4740600585938,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
6,627.8067626953125,646.84716796875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
7,598.7401123046875,618.8480224609375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
8,571.326171875,592.4359130859375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
9,545.475341796875,567.4927978515625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
10,521.1143188476562,543.9588623046875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
11,498.18328857421875,521.783935546875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
12,476.6038513183594,500.88250732421875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
13,456.28546142578125,481.2024841308594,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
14,437.1900939941406,462.6597900390625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
15,419.2587585449219,445.2070007324219,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
16,402.4300842285156,428.7950134277344,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
17,386.6579284667969,413.3742370605469,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
18,371.8817138671875,398.8800048828125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
19,358.0320739746094,385.2835693359375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
20,345.0924072265625,372.51422119140625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
21,333.0099182128906,360.5502014160156,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
22,321.7057800292969,349.31732177734375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
23,311.1879577636719,338.8011169433594,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
24,301.402099609375,328.96875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
25,292.26251220703125,319.7414245605469,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
26,283.7239990234375,311.1038513183594,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
27,275.8211975097656,303.02691650390625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
28,268.48480224609375,295.48297119140625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
29,261.7255859375,288.45904541015625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
30,255.4720916748047,281.90582275390625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
31,249.6466827392578,275.7696533203125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
32,244.2557830810547,270.0445861816406,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
33,239.31886291503906,264.72418212890625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
34,234.76368713378906,259.7683410644531,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
35,230.56466674804688,255.17044067382812,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
36,226.68719482421875,250.8602752685547,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
37,223.1417694091797,246.8644256591797,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
38,219.84701538085938,243.12295532226562,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
39,216.8123321533203,239.64089965820312,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
40,214.0508270263672,236.41134643554688,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
41,211.48953247070312,233.39443969726562,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
42,209.1505126953125,230.59848022460938,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
43,206.96986389160156,227.9657440185547,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
44,204.9819793701172,225.51593017578125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
45,203.1191864013672,223.21829223632812,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
46,201.43580627441406,221.0876922607422,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
47,199.8722381591797,219.09033203125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
48,198.47604370117188,217.25119018554688,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
49,197.10614013671875,215.47586059570312,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
50,195.85980224609375,213.82980346679688,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
51,194.6925506591797,212.28150939941406,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
52,193.62257385253906,210.8217010498047,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
53,192.65460205078125,209.48216247558594,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
54,191.76588439941406,208.2348175048828,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
55,190.8890838623047,207.02267456054688,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
56,190.097412109375,205.89794921875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
57,189.31784057617188,204.8152618408203,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
58,188.57618713378906,203.79429626464844,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
59,187.9250030517578,202.84877014160156,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
60,187.3141326904297,201.96803283691406,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
61,186.76010131835938,201.15231323242188,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
62,186.25531005859375,200.3900909423828,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
63,185.81729125976562,199.69882202148438,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
64,185.42027282714844,199.0516815185547,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
65,185.02603149414062,198.424560546875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
66,184.68014526367188,197.85528564453125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
67,184.3121795654297,197.29200744628906,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
68,183.966064453125,196.7537384033203,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
69,183.65354919433594,196.24853515625,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
70,183.34414672851562,195.75730895996094,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
71,182.99386596679688,195.25344848632812,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
72,182.7554931640625,194.84466552734375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
73,182.5067596435547,194.4395294189453,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
74,182.2013702392578,194.00303649902344,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
75,181.96954345703125,193.63507080078125,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
76,181.76806640625,193.29827880859375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
77,181.58018493652344,192.98463439941406,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
78,181.32012939453125,192.62217712402344,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
79,181.13148498535156,192.327880859375,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
80,180.90602111816406,192.01016235351562,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
81,180.70852661132812,191.72280883789062,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
82,180.50936889648438,191.435546875,model_20210907-230422-d347dd98c0-a511aa524d,model_20210907-230422-d347dd98c0
