,train_summaries,test_summaries,trial_id,parent_study_id
0,665.6128540039062,691.4894409179688,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
1,629.6122436523438,654.9202270507812,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
2,595.9141845703125,620.6702270507812,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
3,564.3919067382812,588.6151733398438,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
4,534.9230346679688,558.614501953125,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
5,507.40081787109375,530.570556640625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
6,481.7021789550781,504.3515930175781,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
7,457.7351379394531,479.884033203125,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
8,435.3954772949219,457.0498962402344,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
9,414.60906982421875,435.7617492675781,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
10,395.2699890136719,415.93609619140625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
11,377.3174743652344,397.4773254394531,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
12,360.65740966796875,380.3237609863281,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
13,345.220458984375,364.38421630859375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
14,330.94525146484375,349.6003112792969,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
15,317.7248840332031,335.89703369140625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
16,305.5517883300781,323.21612548828125,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
17,294.31719970703125,311.48187255859375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
18,283.9920349121094,300.631103515625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
19,274.5021057128906,290.6366882324219,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
20,265.8038330078125,281.4112243652344,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
21,257.84002685546875,272.9335021972656,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
22,250.55967712402344,265.142333984375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
23,243.9051055908203,257.9707946777344,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
24,237.86805725097656,251.41004943847656,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
25,232.35580444335938,245.39010620117188,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
26,227.34425354003906,239.8866729736328,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
27,222.7469024658203,234.8228759765625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
28,218.6077423095703,230.20497131347656,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
29,214.87998962402344,226.01815795898438,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
30,211.47067260742188,222.170166015625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
31,208.43490600585938,218.6887664794922,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
32,205.64816284179688,215.49732971191406,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
33,203.1681365966797,212.60848999023438,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
34,200.93472290039062,209.974853515625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
35,198.8901824951172,207.55699157714844,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
36,197.06712341308594,205.38092041015625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
37,195.4279327392578,203.3921661376953,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
38,193.93699645996094,201.58607482910156,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
39,192.6048126220703,199.92758178710938,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
40,191.40087890625,198.4359130859375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
41,190.33438110351562,197.0706329345703,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
42,189.33038330078125,195.8148193359375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
43,188.4446563720703,194.6713104248047,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
44,187.65650939941406,193.63966369628906,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
45,186.9168701171875,192.6943359375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
46,186.26812744140625,191.837646484375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
47,185.6705322265625,191.03823852539062,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
48,185.09735107421875,190.2895965576172,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
49,184.5962371826172,189.62835693359375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
50,184.15733337402344,189.01951599121094,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
51,183.68667602539062,188.41415405273438,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
52,183.3040008544922,187.89663696289062,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
53,182.970458984375,187.42950439453125,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
54,182.64874267578125,186.9844207763672,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
55,182.36709594726562,186.58718872070312,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
56,182.09072875976562,186.20993041992188,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
57,181.8086700439453,185.85179138183594,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
58,181.54556274414062,185.5119171142578,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
59,181.31033325195312,185.20916748046875,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
60,181.098388671875,184.9305877685547,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
61,180.87440490722656,184.65159606933594,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
62,180.67599487304688,184.4043426513672,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
63,180.4959259033203,184.17788696289062,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
64,180.32672119140625,183.9667510986328,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
65,180.1836395263672,183.7825927734375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
66,180.0277099609375,183.591552734375,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
67,179.88424682617188,183.42124938964844,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
68,179.7403564453125,183.2537841796875,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
69,179.61610412597656,183.1080322265625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
70,179.50509643554688,182.97564697265625,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
71,179.37611389160156,182.83653259277344,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
72,179.2573699951172,182.71522521972656,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
73,179.15834045410156,182.6024627685547,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
74,179.06182861328125,182.49508666992188,model_20210908-164348-e5a30a640c-31363b754e,model_20210908-164348-e5a30a640c
