,train_summaries,test_summaries,trial_id,parent_study_id
0,688.456787109375,695.2244873046875,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
1,646.5593872070312,653.7203369140625,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
2,607.59423828125,615.092529296875,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
3,571.3843383789062,579.2056884765625,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
4,537.7542114257812,545.8632202148438,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
5,506.5365905761719,514.9345092773438,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
6,477.57666015625,486.25482177734375,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
7,450.76361083984375,459.7070007324219,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
8,425.9366455078125,435.0876770019531,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
9,402.991455078125,412.3381042480469,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
10,381.7855224609375,391.2950134277344,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
11,362.20831298828125,371.8901062011719,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
12,344.1658020019531,354.0073547363281,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
13,327.56549072265625,337.56494140625,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
14,312.3222351074219,322.4095764160156,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
15,298.3427734375,308.552490234375,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
16,285.5449523925781,295.8228454589844,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
17,273.8355407714844,284.2013854980469,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
18,263.13507080078125,273.526123046875,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
19,253.3712158203125,263.7945556640625,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
20,244.47161865234375,254.96226501464844,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
21,236.42526245117188,246.91416931152344,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
22,229.12081909179688,239.600341796875,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
23,222.48167419433594,232.96319580078125,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
24,216.505859375,226.94248962402344,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
25,211.09764099121094,221.52516174316406,model_20210912-074538-0114f1ddd0-d4f90580ec,model_20210912-074538-0114f1ddd0
