,train_summaries,test_summaries,trial_id,parent_study_id
0,898.5367431640625,912.8892211914062,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
1,831.7106323242188,850.3424682617188,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
2,770.4744262695312,793.0833129882812,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
3,714.376708984375,740.5971069335938,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
4,663.0587158203125,692.5421752929688,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
5,616.1553955078125,648.6083374023438,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
6,573.3240966796875,608.4437866210938,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
7,534.2545166015625,571.7700805664062,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
8,498.6940002441406,538.32080078125,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
9,466.35247802734375,507.8175048828125,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
10,436.9874572753906,480.0476379394531,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
11,410.37890625,454.793212890625,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
12,386.3197021484375,431.835205078125,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
13,364.5870666503906,410.9768371582031,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
14,345.0194091796875,392.0979309082031,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
15,327.4797668457031,375.0589904785156,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
16,311.7462158203125,359.5837097167969,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
17,297.6242980957031,345.5810546875,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
18,285.0531005859375,332.95843505859375,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
19,273.93548583984375,321.6102600097656,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
20,264.0230712890625,311.3283386230469,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
21,255.26516723632812,302.0756530761719,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
22,247.53916931152344,293.758544921875,model_20210912-162443-7f0d113a58-4f10aaeccf,model_20210912-162443-7f0d113a58
