,train_summaries,test_summaries,trial_id,parent_study_id
0,879.911376953125,894.7976684570312,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
1,822.587158203125,841.0951538085938,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
2,769.4629516601562,791.334228515625,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
3,720.2366943359375,745.213134765625,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
4,674.665283203125,702.484619140625,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
5,632.487548828125,662.948486328125,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
6,593.5068359375,626.3740844726562,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
7,557.4684448242188,592.5216674804688,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
8,524.19384765625,561.2626953125,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
9,493.5179748535156,532.3770751953125,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
10,465.25225830078125,505.724365234375,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
11,439.2655334472656,481.17572021484375,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
12,415.3824768066406,458.53656005859375,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
13,393.46099853515625,437.676025390625,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
14,373.34442138671875,418.46142578125,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
15,354.96429443359375,400.849365234375,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
16,338.1628723144531,384.6734924316406,model_20210912-164157-ad3bce0a8c-d8ffac9f65,model_20210912-164157-ad3bce0a8c
