,train_summaries,test_summaries,trial_id,parent_study_id
0,830.3341674804688,816.656494140625,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
1,758.176513671875,746.789306640625,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
2,693.7886962890625,684.3724975585938,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
3,636.4187622070312,628.7020874023438,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
4,585.4523315429688,579.135986328125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
5,540.2528686523438,535.1227416992188,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
6,500.2448425292969,496.104736328125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
7,465.0866394042969,461.697021484375,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
8,434.24261474609375,431.39019775390625,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
9,407.2427673339844,404.7618103027344,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
10,383.78619384765625,381.48223876953125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
11,363.3636169433594,361.1186218261719,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
12,345.70294189453125,343.4241638183594,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
13,330.44927978515625,328.0755310058594,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
14,317.3589172363281,314.7915954589844,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
15,306.1430358886719,303.32110595703125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
16,296.5377502441406,293.4430847167969,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
17,288.1578063964844,284.7974548339844,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
18,281.2140197753906,277.5107116699219,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
19,275.17156982421875,271.1798400878906,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
20,270.0730285644531,265.7542419433594,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
21,265.72344970703125,261.1358947753906,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
22,261.9778137207031,257.1578369140625,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
23,258.79541015625,253.76296997070312,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
24,255.93438720703125,250.7644500732422,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
25,253.59300231933594,248.2333526611328,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
26,251.58462524414062,246.06275939941406,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
27,249.8675537109375,244.2030792236328,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
28,248.34803771972656,242.55902099609375,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
29,246.96636962890625,241.09774780273438,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
30,245.6768798828125,239.805419921875,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
31,244.55255126953125,238.6948699951172,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
32,243.585693359375,237.7159423828125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
33,242.63356018066406,236.80950927734375,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
34,241.84486389160156,236.0584716796875,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
35,241.08163452148438,235.34078979492188,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
36,240.36268615722656,234.71310424804688,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
37,239.78033447265625,234.1836700439453,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
38,239.23324584960938,233.69851684570312,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
39,238.76412963867188,233.2770233154297,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
40,238.1490478515625,232.87051391601562,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
41,237.61058044433594,232.50563049316406,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
42,237.21249389648438,232.1876220703125,model_20210913-165331-39a0e6b59e-1f5c0b8a2b,model_20210913-165331-39a0e6b59e
