,train_summaries,test_summaries,trial_id,parent_study_id
0,733.0199584960938,748.6514892578125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
1,696.8128662109375,712.5704345703125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
2,662.6519165039062,678.53076171875,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
3,630.4386596679688,646.4146118164062,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
4,600.07080078125,616.0989990234375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
5,571.4535522460938,587.5278930664062,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
6,544.4976196289062,560.5948486328125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
7,519.123291015625,535.2201538085938,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
8,495.2472229003906,511.30810546875,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
9,472.79144287109375,488.7970275878906,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
10,451.6878356933594,467.6301574707031,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
11,431.88043212890625,447.7227478027344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
12,413.2718200683594,429.00274658203125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
13,395.8340759277344,411.4398193359375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
14,379.5009765625,394.9480285644531,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
15,364.21099853515625,379.4775085449219,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
16,349.9192199707031,364.9681701660156,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
17,336.5646667480469,351.4023742675781,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
18,324.089599609375,338.68524169921875,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
19,312.48553466796875,326.8010559082031,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
20,301.63006591796875,315.6789245605469,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
21,291.546875,305.2969055175781,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
22,282.14715576171875,295.5916748046875,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
23,273.4494323730469,286.5510559082031,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
24,265.36871337890625,278.12628173828125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
25,257.87255859375,270.2602844238281,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
26,250.8941650390625,262.9627990722656,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
27,244.49656677246094,256.1835632324219,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
28,238.56944274902344,249.86996459960938,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
29,233.10089111328125,244.0176239013672,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
30,228.0863037109375,238.59048461914062,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
31,223.44386291503906,233.56985473632812,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
32,219.1999053955078,228.91709899902344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
33,215.2899932861328,224.5994415283203,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
34,211.70904541015625,220.6030731201172,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
35,208.44390869140625,216.92698669433594,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
36,205.42868041992188,213.5221710205078,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
37,202.66494750976562,210.3595733642578,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
38,200.13937377929688,207.44424438476562,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
39,197.75692749023438,204.69430541992188,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
40,195.6194305419922,202.20635986328125,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
41,193.697021484375,199.93692016601562,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
42,191.8488311767578,197.7432098388672,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
43,190.15309143066406,195.75436401367188,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
44,188.6366424560547,193.9274444580078,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
45,187.28636169433594,192.26339721679688,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
46,186.02420043945312,190.72276306152344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
47,184.85964965820312,189.30149841308594,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
48,183.75538635253906,187.96153259277344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
49,182.7899169921875,186.7310791015625,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
50,181.92649841308594,185.61166381835938,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
51,181.09507751464844,184.5486297607422,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
52,180.3114776611328,183.58016967773438,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
53,179.6219940185547,182.6984100341797,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
54,179.00454711914062,181.86497497558594,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
55,178.3705291748047,181.0699462890625,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
56,177.8075714111328,180.3396759033203,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
57,177.28053283691406,179.673583984375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
58,176.81124877929688,179.04141235351562,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
59,176.35678100585938,178.46180725097656,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
60,175.95416259765625,177.92576599121094,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
61,175.53907775878906,177.4198455810547,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
62,175.12757873535156,176.93019104003906,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
63,174.7502899169922,176.46554565429688,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
64,174.41445922851562,176.03501892089844,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
65,174.13169860839844,175.64952087402344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
66,173.80177307128906,175.2649383544922,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
67,173.5470733642578,174.93698120117188,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
68,173.28170776367188,174.61375427246094,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
69,173.02532958984375,174.3029327392578,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
70,172.73709106445312,173.99327087402344,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
71,172.47691345214844,173.7262420654297,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
72,172.27792358398438,173.47496032714844,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
73,172.07760620117188,173.234375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
74,171.8575897216797,173.02474975585938,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
75,171.68727111816406,172.81878662109375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
76,171.49850463867188,172.62161254882812,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
77,171.31173706054688,172.41693115234375,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
78,171.12966918945312,172.23316955566406,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
79,170.96627807617188,172.0587615966797,model_20210916-162741-491b38a470-d669d9bc15,model_20210916-162741-491b38a470
