,train_summaries,test_summaries,trial_id,parent_study_id
0,827.647705078125,845.7810668945312,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
1,778.7761840820312,798.1559448242188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
2,733.1661376953125,753.6569213867188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
3,690.5869140625,712.1119995117188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
4,650.872802734375,673.2913818359375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
5,613.8358154296875,637.150146484375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
6,579.2804565429688,603.3910522460938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
7,547.1382446289062,571.9541625976562,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
8,517.21630859375,542.6382446289062,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
9,489.40484619140625,515.3533935546875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
10,463.54034423828125,489.96990966796875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
11,439.5584411621094,466.4258117675781,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
12,417.2840576171875,444.4966125488281,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
13,396.6613464355469,424.12823486328125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
14,377.5527648925781,405.247314453125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
15,359.9478759765625,387.792724609375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
16,343.6482238769531,371.5539245605469,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
17,328.58197021484375,356.513427734375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
18,314.74407958984375,342.6094970703125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
19,302.02203369140625,329.796875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
20,290.3056335449219,317.9492492675781,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
21,279.57037353515625,307.0444030761719,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
22,269.7603454589844,297.00048828125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
23,260.7801818847656,287.7574462890625,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
24,252.50306701660156,279.2689208984375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
25,245.00228881835938,271.4645690917969,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
26,238.1696319580078,264.31475830078125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
27,231.97703552246094,257.7358093261719,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
28,226.28477478027344,251.64755249023438,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
29,221.189453125,246.13619995117188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
30,216.4611358642578,241.0839080810547,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
31,212.20716857910156,236.44227600097656,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
32,208.37940979003906,232.19984436035156,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
33,204.9372100830078,228.32064819335938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
34,201.84780883789062,224.77865600585938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
35,199.01358032226562,221.51194763183594,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
36,196.41233825683594,218.49710083007812,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
37,194.009765625,215.73818969726562,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
38,191.92625427246094,213.24070739746094,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
39,189.9725341796875,210.99285888671875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
40,188.26368713378906,208.91897583007812,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
41,186.65106201171875,207.00198364257812,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
42,185.24203491210938,205.2157440185547,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
43,183.87655639648438,203.5727996826172,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
44,182.68402099609375,202.07371520996094,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
45,181.60678100585938,200.73419189453125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
46,180.5907745361328,199.4688720703125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
47,179.7104949951172,198.31784057617188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
48,178.86349487304688,197.21534729003906,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
49,178.05795288085938,196.2325897216797,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
50,177.3627166748047,195.32528686523438,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
51,176.7083740234375,194.49986267089844,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
52,176.1063232421875,193.72467041015625,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
53,175.549560546875,193.0149383544922,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
54,174.9921112060547,192.33453369140625,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
55,174.50955200195312,191.7135772705078,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
56,173.99417114257812,191.17189025878906,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
57,173.54356384277344,190.61866760253906,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
58,173.12210083007812,190.1390838623047,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
59,172.71218872070312,189.6907196044922,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
60,172.31443786621094,189.21998596191406,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
61,171.96405029296875,188.80758666992188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
62,171.6671600341797,188.4375762939453,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
63,171.3832550048828,188.08856201171875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
64,171.03720092773438,187.77243041992188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
65,170.71083068847656,187.46859741210938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
66,170.43551635742188,187.18275451660156,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
67,170.17446899414062,186.9315185546875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
68,169.87001037597656,186.6929473876953,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
69,169.54574584960938,186.44378662109375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
70,169.32473754882812,186.22613525390625,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
71,169.05670166015625,186.01303100585938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
72,168.82757568359375,185.818359375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
73,168.61427307128906,185.64108276367188,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
74,168.41668701171875,185.47055053710938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
75,168.1699981689453,185.2820587158203,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
76,167.91270446777344,185.14859008789062,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
77,167.6871337890625,185.0189971923828,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
78,167.5052947998047,184.87667846679688,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
79,167.31556701660156,184.72549438476562,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
80,167.15415954589844,184.58660888671875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
81,167.01930236816406,184.47543334960938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
82,166.83470153808594,184.37295532226562,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
83,166.66477966308594,184.2696533203125,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
84,166.4917755126953,184.1565399169922,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
85,166.3479766845703,184.04090881347656,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
86,166.16897583007812,183.9381103515625,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
87,166.0044708251953,183.8655242919922,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
88,165.86827087402344,183.77609252929688,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
89,165.69874572753906,183.6951141357422,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
90,165.52635192871094,183.6326446533203,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
91,165.35830688476562,183.58377075195312,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
92,165.21176147460938,183.49349975585938,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
93,165.11016845703125,183.4359588623047,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
94,164.96194458007812,183.34710693359375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
95,164.79983520507812,183.29348754882812,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
96,164.6847686767578,183.25051879882812,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
97,164.57113647460938,183.188232421875,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
98,164.46397399902344,183.11611938476562,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
99,164.33340454101562,183.09515380859375,model_20210917-163014-3d88c7d068-2edca497b4,model_20210917-163014-3d88c7d068
