,train_summaries,test_summaries,trial_id,parent_study_id
0,1483.5262451171875,1438.597900390625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
1,1400.8846435546875,1361.3013916015625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
2,1323.537109375,1288.88818359375,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
3,1251.2139892578125,1221.1890869140625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
4,1183.6009521484375,1157.7725830078125,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
5,1120.431640625,1098.50634765625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
6,1061.482666015625,1043.1097412109375,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
7,1006.4927368164062,991.2353515625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
8,955.2326049804688,942.8972778320312,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
9,907.5205688476562,897.7880249023438,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
10,863.1223754882812,855.6839599609375,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
11,821.8401489257812,816.468994140625,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
12,783.5410766601562,779.9275512695312,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
13,747.99951171875,745.8771362304688,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
14,715.0905151367188,714.2620849609375,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
15,684.6552734375,684.9125366210938,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
16,656.5419311523438,657.6428833007812,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
17,630.6043090820312,632.3527221679688,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
18,606.7146606445312,608.8458251953125,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
19,584.7607421875,587.1229858398438,model_20210920-165113-73b712404f-390f375292,model_20210920-165113-73b712404f
