,train_summaries,test_summaries,trial_id,parent_study_id
0,734.6192626953125,734.2783813476562,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
1,670.0556640625,670.29541015625,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
2,612.6207885742188,613.2217407226562,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
3,561.6852416992188,562.5,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
4,516.6153564453125,517.5433349609375,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
5,476.8645324707031,477.72259521484375,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
6,441.921630859375,442.59466552734375,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
7,411.38348388671875,411.7297668457031,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
8,384.66790771484375,384.6043395996094,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
9,361.4753723144531,360.9246520996094,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
10,341.45635986328125,340.3082580566406,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
11,324.1565246582031,322.40667724609375,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
12,309.3736267089844,306.95477294921875,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
13,296.75823974609375,293.6346740722656,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
14,286.0030517578125,282.153076171875,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
15,276.9188232421875,272.3280944824219,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
16,269.26287841796875,263.9470520019531,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
17,262.78564453125,256.7742614746094,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
18,257.3553466796875,250.658447265625,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
19,252.72601318359375,245.42559814453125,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
20,248.8126220703125,240.9307098388672,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
21,245.5228271484375,237.0985107421875,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
22,242.7247314453125,233.8199462890625,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
23,240.40939331054688,231.06607055664062,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
24,238.45558166503906,228.6883087158203,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
25,236.747314453125,226.60496520996094,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
26,235.26901245117188,224.78497314453125,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
27,233.99305725097656,223.2238006591797,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
28,232.92965698242188,221.91357421875,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
29,232.00076293945312,220.74832153320312,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
30,231.19825744628906,219.7504425048828,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
31,230.52821350097656,218.88848876953125,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
32,229.906982421875,218.11756896972656,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
33,229.3363800048828,217.43771362304688,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
34,228.847900390625,216.82852172851562,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
35,228.35813903808594,216.27511596679688,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
36,227.95333862304688,215.79391479492188,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
37,227.54324340820312,215.33753967285156,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
38,227.19503784179688,214.92813110351562,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
39,226.83705139160156,214.54150390625,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
40,226.5326690673828,214.21279907226562,model_20210922-054915-851008cda4-d1931aea9b,model_20210922-054915-851008cda4
