,train_summaries,test_summaries,trial_id,parent_study_id
0,857.7940673828125,826.6543579101562,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
1,792.1253662109375,766.15234375,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
2,732.3146362304688,711.0320434570312,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
3,677.9166259765625,660.821533203125,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
4,628.474853515625,615.1520385742188,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
5,583.61279296875,573.6519775390625,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
6,542.978515625,535.9844970703125,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
7,506.19158935546875,501.7916564941406,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
8,473.03997802734375,470.9005126953125,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
9,443.1463317871094,442.9261779785156,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
10,416.28631591796875,417.7250061035156,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
11,392.2120056152344,394.995361328125,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
12,370.6855163574219,374.57867431640625,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
13,351.4831237792969,356.27801513671875,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
14,334.3403015136719,339.80535888671875,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
15,319.2359924316406,325.1324157714844,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
16,305.82855224609375,311.967529296875,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
17,294.0714416503906,300.2870788574219,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
18,283.6351623535156,289.7959899902344,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
19,274.4881896972656,280.51434326171875,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
20,266.4838562011719,272.2420654296875,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
21,259.4815673828125,264.9020080566406,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
22,253.40208435058594,258.4347229003906,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
23,248.10934448242188,252.67971801757812,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
24,243.516357421875,247.5499267578125,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
25,239.4077606201172,242.98269653320312,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
26,235.84237670898438,238.91883850097656,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
27,232.8038787841797,235.3810272216797,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
28,230.1063690185547,232.1806182861328,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
29,227.7277069091797,229.32960510253906,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
30,225.7077178955078,226.84938049316406,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
31,223.9723663330078,224.6483612060547,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
32,222.40586853027344,222.66098022460938,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
33,220.9149169921875,220.8458709716797,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
34,219.57626342773438,219.21253967285156,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
35,218.40232849121094,217.76382446289062,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
36,217.24571228027344,216.3795166015625,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
37,216.22462463378906,215.13973999023438,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
38,215.4342498779297,214.08335876464844,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
39,214.65818786621094,213.14193725585938,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
40,213.9120635986328,212.25823974609375,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
41,213.21202087402344,211.44712829589844,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
42,212.6170654296875,210.69447326660156,model_20210922-060329-305ab8720f-700e06c5e7,model_20210922-060329-305ab8720f
