,train_summaries,test_summaries,trial_id,parent_study_id
0,873.52001953125,841.0764770507812,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
1,821.1038208007812,792.7262573242188,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
2,772.3536376953125,747.7232666015625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
3,727.0125732421875,705.8695678710938,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
4,684.8909301757812,666.9605102539062,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
5,645.7833862304688,630.794921875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
6,609.527099609375,597.2230834960938,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
7,575.8966064453125,566.0391845703125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
8,544.7914428710938,537.1636352539062,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
9,516.0237426757812,510.3959045410156,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
10,489.44244384765625,485.5968322753906,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
11,464.93060302734375,462.7096862792969,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
12,442.310546875,441.49725341796875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
13,421.52178955078125,421.94696044921875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
14,402.4379577636719,403.9564208984375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
15,384.8562927246094,387.3031005859375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
16,368.80560302734375,372.002197265625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
17,354.16888427734375,357.933349609375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
18,340.755126953125,345.01116943359375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
19,328.6064147949219,333.1829833984375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
20,317.52301025390625,322.3036193847656,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
21,307.4940490722656,312.4035949707031,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
22,298.3599853515625,303.326416015625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
23,290.1100769042969,294.98126220703125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
24,282.6242980957031,287.3592224121094,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
25,275.95587158203125,280.4757385253906,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
26,269.8483581542969,274.10467529296875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
27,264.32952880859375,268.3206481933594,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
28,259.3485412597656,263.0300598144531,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
29,254.99044799804688,258.25665283203125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
30,250.96609497070312,253.8482666015625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
31,247.3832244873047,249.8472442626953,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
32,244.18373107910156,246.25277709960938,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
33,241.30235290527344,242.947998046875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
34,238.73245239257812,239.97723388671875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
35,236.457763671875,237.2844696044922,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
36,234.33831787109375,234.75897216796875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
37,232.4086151123047,232.4456024169922,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
38,230.6840057373047,230.34190368652344,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
39,229.1517791748047,228.46072387695312,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
40,227.76690673828125,226.71714782714844,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
41,226.50921630859375,225.1547088623047,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
42,225.32786560058594,223.6792449951172,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
43,224.198974609375,222.27447509765625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
44,223.27896118164062,221.0685577392578,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
45,222.33233642578125,219.91226196289062,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
46,221.56883239746094,218.9060821533203,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
47,220.8032684326172,217.89691162109375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
48,220.16969299316406,217.03939819335938,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
49,219.56130981445312,216.24627685546875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
50,219.03826904296875,215.5180206298828,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
51,218.5065460205078,214.817138671875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
52,218.00860595703125,214.15293884277344,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
53,217.53823852539062,213.54217529296875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
54,217.003173828125,212.95848083496094,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
55,216.6343231201172,212.44296264648438,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
56,216.1690216064453,211.92759704589844,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
57,215.70956420898438,211.39117431640625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
58,215.33702087402344,210.9473114013672,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
59,214.9403533935547,210.51083374023438,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
60,214.5851593017578,210.1282196044922,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
61,214.2040557861328,209.7473907470703,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
62,213.8523712158203,209.37530517578125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
63,213.535400390625,209.05055236816406,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
64,213.27691650390625,208.7412109375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
65,213.04629516601562,208.49224853515625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
66,212.74148559570312,208.20574951171875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
67,212.47994995117188,207.955322265625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
68,212.2484130859375,207.68466186523438,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
69,211.97447204589844,207.4595184326172,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
70,211.7088623046875,207.206787109375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
71,211.5282745361328,207.02003479003906,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
72,211.33447265625,206.8367462158203,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
73,211.06040954589844,206.6387481689453,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
74,210.90213012695312,206.47540283203125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
75,210.69668579101562,206.3009033203125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
76,210.57675170898438,206.1569061279297,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
77,210.3922576904297,205.99896240234375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
78,210.2332763671875,205.84124755859375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
79,210.00430297851562,205.66978454589844,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
80,209.79006958007812,205.54107666015625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
81,209.5785369873047,205.36383056640625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
82,209.400390625,205.22767639160156,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
83,209.2755889892578,205.10325622558594,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
84,209.11595153808594,204.9693145751953,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
85,208.9891815185547,204.9033660888672,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
86,208.86572265625,204.8076171875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
87,208.73031616210938,204.6760711669922,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
88,208.5524139404297,204.58438110351562,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
89,208.40911865234375,204.5048065185547,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
90,208.2860107421875,204.39642333984375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
91,208.12506103515625,204.30084228515625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
92,207.92967224121094,204.1745147705078,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
93,207.73805236816406,204.05807495117188,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
94,207.6363525390625,203.98098754882812,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
95,207.52059936523438,203.88954162597656,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
96,207.4207763671875,203.79733276367188,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
97,207.20787048339844,203.7268524169922,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
98,207.1187744140625,203.6588134765625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
99,206.96044921875,203.5766143798828,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
100,206.7882843017578,203.52102661132812,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
101,206.71788024902344,203.46995544433594,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
102,206.56137084960938,203.35874938964844,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
103,206.45396423339844,203.2781982421875,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
104,206.2672119140625,203.1651153564453,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
105,206.19798278808594,203.11474609375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
106,206.07615661621094,203.0460205078125,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
107,205.909423828125,203.00396728515625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
108,205.76658630371094,202.92213439941406,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
109,205.65122985839844,202.8474578857422,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
110,205.55447387695312,202.7943115234375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
111,205.44046020507812,202.74441528320312,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
112,205.3075408935547,202.68653869628906,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
113,205.18817138671875,202.6131134033203,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
114,205.0660400390625,202.53851318359375,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
115,204.97955322265625,202.48672485351562,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
116,204.84756469726562,202.46206665039062,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
117,204.79800415039062,202.43072509765625,model_20210922-060329-305ab8720f-75cc65bb95,model_20210922-060329-305ab8720f
