,train_summaries,test_summaries,trial_id,parent_study_id
0,838.707275390625,885.2740478515625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
1,795.346435546875,842.22705078125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
2,754.5130004882812,801.6629638671875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
3,716.0243530273438,763.4318237304688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
4,679.7994995117188,727.469482421875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
5,645.702880859375,693.5841674804688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
6,613.6141357421875,661.73876953125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
7,583.4317016601562,631.7579956054688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
8,555.0485229492188,603.5353393554688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
9,528.3831787109375,577.0779418945312,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
10,503.3290100097656,552.200439453125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
11,479.83807373046875,528.857666015625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
12,457.7987976074219,506.93438720703125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
13,437.1590881347656,486.3780212402344,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
14,417.8233947753906,467.1108703613281,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
15,399.73974609375,449.06982421875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
16,382.8061218261719,432.1402893066406,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
17,366.9571838378906,416.3079833984375,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
18,352.170166015625,401.52752685546875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
19,338.4141540527344,387.7109069824219,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
20,325.5857849121094,374.84039306640625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
21,313.643310546875,362.80615234375,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
22,302.5615234375,351.5750427246094,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
23,292.26251220703125,341.1414794921875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
24,282.709716796875,331.43865966796875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
25,273.8727722167969,322.3709411621094,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
26,265.65899658203125,313.9319152832031,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
27,258.0948791503906,306.0873107910156,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
28,251.06719970703125,298.8087158203125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
29,244.6099853515625,292.0655517578125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
30,238.636962890625,285.80206298828125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
31,233.11351013183594,279.9873046875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
32,228.08131408691406,274.60601806640625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
33,223.42518615722656,269.5845947265625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
34,219.16790771484375,264.9465026855469,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
35,215.2611541748047,260.66290283203125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
36,211.65272521972656,256.7149963378906,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
37,208.34735107421875,253.02896118164062,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
38,205.31869506835938,249.61668395996094,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
39,202.51010131835938,246.44436645507812,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
40,199.96420288085938,243.52102661132812,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
41,197.62672424316406,240.80972290039062,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
42,195.47250366210938,238.27781677246094,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
43,193.50521850585938,235.94921875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
44,191.6990966796875,233.76559448242188,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
45,190.06163024902344,231.76673889160156,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
46,188.51780700683594,229.88833618164062,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
47,187.14231872558594,228.18270874023438,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
48,185.847900390625,226.58123779296875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
49,184.64956665039062,225.0725860595703,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
50,183.55825805664062,223.6941680908203,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
51,182.58807373046875,222.4288787841797,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
52,181.6497802734375,221.2578125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
53,180.8105926513672,220.13385009765625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
54,180.02310180664062,219.07012939453125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
55,179.29937744140625,218.07789611816406,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
56,178.65635681152344,217.1723175048828,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
57,178.05487060546875,216.331787109375,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
58,177.47332763671875,215.55601501464844,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
59,176.94009399414062,214.84930419921875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
60,176.41920471191406,214.17837524414062,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
61,175.95506286621094,213.518310546875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
62,175.55201721191406,212.92520141601562,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
63,175.1545867919922,212.3692169189453,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
64,174.7372589111328,211.84754943847656,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
65,174.3951416015625,211.3617401123047,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
66,174.03622436523438,210.8875274658203,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
67,173.7291259765625,210.46595764160156,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
68,173.3917236328125,210.04318237304688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
69,173.0839080810547,209.6364288330078,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
70,172.75985717773438,209.2687225341797,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
71,172.46627807617188,208.9115753173828,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
72,172.1958770751953,208.60769653320312,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
73,171.90599060058594,208.25914001464844,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
74,171.6290740966797,207.9644012451172,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
75,171.368408203125,207.6715850830078,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
76,171.11175537109375,207.43389892578125,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
77,170.89871215820312,207.14793395996094,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
78,170.69552612304688,206.92530822753906,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
79,170.4977569580078,206.7119903564453,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
80,170.27027893066406,206.49496459960938,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
81,170.06414794921875,206.29122924804688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
82,169.89036560058594,206.1064910888672,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
83,169.69432067871094,205.9405059814453,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
84,169.4817657470703,205.78817749023438,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
85,169.29356384277344,205.62510681152344,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
86,169.112060546875,205.4756317138672,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
87,168.97177124023438,205.3194122314453,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
88,168.82855224609375,205.17178344726562,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
89,168.69020080566406,205.07525634765625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
90,168.55906677246094,204.9494171142578,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
91,168.38079833984375,204.8449249267578,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
92,168.24093627929688,204.7401580810547,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
93,168.07510375976562,204.60597229003906,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
94,167.87818908691406,204.46853637695312,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
95,167.71026611328125,204.38040161132812,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
96,167.5812530517578,204.27163696289062,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
97,167.42762756347656,204.19796752929688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
98,167.2879180908203,204.0955810546875,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
99,167.13246154785156,204.00704956054688,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
100,167.0323944091797,203.9302978515625,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
101,166.89785766601562,203.84808349609375,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
102,166.7418670654297,203.7736053466797,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
103,166.6423797607422,203.70335388183594,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
104,166.56298828125,203.64491271972656,model_20210924-164646-5f24a073af-b5b3677a70,model_20210924-164646-5f24a073af
