,train_summaries,test_summaries,trial_id,parent_study_id
0,959.8684692382812,944.9822998046875,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
1,909.153564453125,896.18896484375,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
2,861.4616088867188,850.3023071289062,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
3,816.6050415039062,807.1321411132812,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
4,774.45458984375,766.5783081054688,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
5,734.8394775390625,728.4563598632812,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
6,697.6405029296875,692.6649169921875,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
7,662.720947265625,659.0748901367188,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
8,629.9489135742188,627.5186767578125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
9,599.20556640625,597.9430541992188,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
10,570.37353515625,570.1943969726562,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
11,543.3777465820312,544.224609375,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
12,518.1148071289062,519.86962890625,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
13,494.4932861328125,497.12432861328125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
14,472.45465087890625,475.8421325683594,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
15,451.86346435546875,455.96575927734375,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
16,432.6666564941406,437.3903503417969,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
17,414.75616455078125,420.0749206542969,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
18,398.1119384765625,403.91339111328125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
19,382.6048583984375,388.8631591796875,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
20,368.2034912109375,374.8807373046875,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
21,354.85235595703125,361.8662109375,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
22,342.4667663574219,349.78204345703125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
23,331.05072021484375,338.59527587890625,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
24,320.4427795410156,328.18731689453125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
25,310.67889404296875,318.5663146972656,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
26,301.66943359375,309.6620788574219,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
27,293.3573303222656,301.4043273925781,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
28,285.7182922363281,293.79095458984375,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
29,278.6508483886719,286.7198791503906,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
30,272.1979675292969,280.245361328125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
31,266.2261657714844,274.2054138183594,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
32,260.76141357421875,268.6392822265625,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
33,255.76416015625,263.52935791015625,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
34,251.20022583007812,258.8467712402344,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
35,247.00390625,254.51828002929688,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
36,243.1686553955078,250.53555297851562,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
37,239.6286163330078,246.848876953125,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
38,236.36474609375,243.42579650878906,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
39,233.39089965820312,240.29415893554688,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
40,230.70074462890625,237.41795349121094,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
41,228.23033142089844,234.77479553222656,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
42,225.957763671875,232.30491638183594,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
43,223.9444122314453,230.0950469970703,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
44,222.0692596435547,228.03561401367188,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
45,220.38540649414062,226.1317138671875,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
46,218.79400634765625,224.3651580810547,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
47,217.3433074951172,222.72142028808594,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
48,216.0655517578125,221.2437286376953,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
49,214.8481903076172,219.830322265625,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
50,213.75369262695312,218.5474090576172,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
51,212.75460815429688,217.36654663085938,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
52,211.81982421875,216.25753784179688,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
53,210.97067260742188,215.23300170898438,model_20210926-164645-abf62beb86-62b1368bb6,model_20210926-164645-abf62beb86
