,train_summaries,test_summaries,trial_id,parent_study_id
0,640.432373046875,668.8186645507812,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
1,583.393798828125,609.81298828125,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
2,532.6279907226562,557.15478515625,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
3,487.5443115234375,510.27996826171875,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
4,447.62603759765625,468.5968322753906,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
5,412.34832763671875,431.63873291015625,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
6,381.2509765625,398.91461181640625,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
7,353.99493408203125,370.08099365234375,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
8,330.164794921875,344.69329833984375,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
9,309.4440612792969,322.4499206542969,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
10,291.492431640625,303.0188293457031,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
11,276.00006103515625,286.0597839355469,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
12,262.7332458496094,271.3740234375,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
13,251.35557556152344,258.6870422363281,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
14,241.67080688476562,247.83026123046875,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
15,233.48202514648438,238.45779418945312,model_20210927-165207-7d7dda080c-7d742d6f06,model_20210927-165207-7d7dda080c
