,train_summaries,test_summaries,trial_id,parent_study_id
0,994.9080200195312,911.4791259765625,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
1,918.0608520507812,843.0921020507812,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
2,848.2011108398438,780.9271850585938,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
3,784.77490234375,724.4691772460938,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
4,727.2828979492188,673.2974243164062,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
5,675.2377319335938,626.9135131835938,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
6,628.2212524414062,585.0021362304688,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
7,585.8265991210938,547.1624145507812,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
8,547.674560546875,513.075927734375,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
9,513.4201049804688,482.4131164550781,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
10,482.72857666015625,454.9095764160156,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
11,455.2925720214844,430.2750244140625,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
12,430.88555908203125,408.2782897949219,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
13,409.21453857421875,388.6744079589844,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
14,390.00347900390625,371.24725341796875,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
15,373.0770568847656,355.81781005859375,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
16,358.19622802734375,342.1436767578125,model_20210930-192456-f865bcbc33-080d5c449e,model_20210930-192456-f865bcbc33
