,train_summaries,test_summaries,trial_id,parent_study_id
0,933.8121948242188,885.2443237304688,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
1,864.4151000976562,819.5137939453125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
2,801.0457153320312,759.4310913085938,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
3,743.24169921875,704.6542358398438,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
4,690.5687866210938,654.7072143554688,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
5,642.62255859375,609.1851806640625,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
6,599.047607421875,567.8076782226562,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
7,559.5299682617188,530.2696533203125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
8,523.6890258789062,496.2444152832031,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
9,491.3304138183594,465.4750671386719,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
10,462.1650085449219,437.66876220703125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
11,435.9284362792969,412.6689147949219,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
12,412.3580322265625,390.1730041503906,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
13,391.226806640625,370.0338134765625,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
14,372.4146423339844,351.9909973144531,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
15,355.6385192871094,335.92352294921875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
16,340.7660827636719,321.61065673828125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
17,327.5657043457031,308.9862060546875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
18,315.8738098144531,297.7157287597656,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
19,305.5086975097656,287.8446350097656,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
20,296.4071350097656,279.0867919921875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
21,288.40997314453125,271.4294738769531,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
22,281.38494873046875,264.6789855957031,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
23,275.19537353515625,258.7558288574219,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
24,269.7383117675781,253.53924560546875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
25,264.9432678222656,248.9214324951172,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
26,260.7745666503906,244.9689483642578,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
27,257.1281433105469,241.44761657714844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
28,253.90911865234375,238.37600708007812,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
29,251.06251525878906,235.72702026367188,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
30,248.6415557861328,233.3837432861328,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
31,246.439453125,231.3175811767578,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
32,244.47377014160156,229.47824096679688,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
33,242.7802276611328,227.875244140625,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
34,241.2535858154297,226.4457244873047,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
35,239.87118530273438,225.18504333496094,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
36,238.5991973876953,224.04327392578125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
37,237.41891479492188,223.0148162841797,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
38,236.434814453125,222.1847686767578,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
39,235.55136108398438,221.39889526367188,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
40,234.68240356445312,220.6808319091797,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
41,233.87596130371094,220.02142333984375,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
42,233.10508728027344,219.51185607910156,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
43,232.45111083984375,219.0233612060547,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
44,231.87437438964844,218.62025451660156,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
45,231.30848693847656,218.28013610839844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
46,230.6824188232422,217.93785095214844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
47,230.23825073242188,217.6222686767578,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
48,229.77122497558594,217.36289978027344,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
49,229.26548767089844,217.1134796142578,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
50,228.690185546875,216.84222412109375,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
51,228.19287109375,216.6428985595703,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
52,227.83462524414062,216.4021453857422,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
53,227.3931427001953,216.18423461914062,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
54,227.04380798339844,215.9812774658203,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
55,226.63645935058594,215.82701110839844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
56,226.3289031982422,215.6291961669922,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
57,226.0352783203125,215.4783477783203,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
58,225.70863342285156,215.3437042236328,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
59,225.44155883789062,215.21786499023438,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
60,225.1455841064453,215.1100616455078,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
61,224.91477966308594,215.00711059570312,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
62,224.654541015625,214.87806701660156,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
63,224.384033203125,214.78150939941406,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
64,224.08778381347656,214.64404296875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
65,223.82225036621094,214.5406951904297,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
66,223.44200134277344,214.50021362304688,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
67,223.22940063476562,214.42205810546875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
68,222.88677978515625,214.32138061523438,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
69,222.67361450195312,214.19119262695312,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
70,222.45509338378906,214.1127166748047,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
71,222.1505126953125,214.0806427001953,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
72,221.92623901367188,213.9605255126953,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
73,221.76715087890625,213.87240600585938,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
74,221.44015502929688,213.778564453125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
75,221.14151000976562,213.73550415039062,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
76,220.96542358398438,213.6443328857422,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
77,220.663330078125,213.5429229736328,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
78,220.5171356201172,213.47691345214844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
79,220.22317504882812,213.40576171875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
80,219.92344665527344,213.28024291992188,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
81,219.6652069091797,213.24606323242188,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
82,219.45816040039062,213.1797637939453,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
83,219.30540466308594,213.13246154785156,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
84,218.96295166015625,213.034423828125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
85,218.7564239501953,212.965087890625,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
86,218.6321563720703,212.90379333496094,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
87,218.29000854492188,212.92337036132812,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
88,218.17379760742188,212.85000610351562,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
89,217.90777587890625,212.79539489746094,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
90,217.79632568359375,212.73316955566406,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
91,217.6818084716797,212.65890502929688,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
92,217.42788696289062,212.66763305664062,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
93,217.322021484375,212.5995330810547,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
94,217.2058868408203,212.55645751953125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
95,217.0296173095703,212.54908752441406,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
96,216.9313201904297,212.50628662109375,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
97,216.83816528320312,212.47470092773438,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
98,216.75680541992188,212.42613220214844,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
99,216.66091918945312,212.38360595703125,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
100,216.56002807617188,212.33595275878906,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
101,216.30331420898438,212.2991180419922,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
102,216.19444274902344,212.2544403076172,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
103,216.06858825683594,212.20523071289062,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
104,215.9701690673828,212.16603088378906,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
105,215.87474060058594,212.13690185546875,model_20210930-195310-c624ab6108-14a884ee2f,model_20210930-195310-c624ab6108
