,train_summaries,test_summaries,trial_id,parent_study_id
0,814.3060913085938,814.5072631835938,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
1,768.7667236328125,769.6238403320312,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
2,726.1024780273438,727.5585327148438,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
3,686.159423828125,688.1398315429688,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
4,648.7791748046875,651.2338256835938,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
5,613.8079833984375,616.7070922851562,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
6,581.1285400390625,584.4136962890625,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
7,550.5912475585938,554.1707153320312,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
8,522.0834350585938,525.9468383789062,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
9,495.4886169433594,499.57708740234375,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
10,470.6953125,474.9761657714844,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
11,447.5980224609375,452.03167724609375,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
12,426.09857177734375,430.66229248046875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
13,406.11676025390625,410.760986328125,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
14,387.5836486816406,392.24945068359375,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
15,370.36322021484375,375.0375061035156,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
16,354.43621826171875,359.04974365234375,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
17,339.66973876953125,344.2249450683594,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
18,326.0458068847656,330.5053405761719,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
19,313.4609375,317.7884826660156,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
20,301.86273193359375,306.0497131347656,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
21,291.2268981933594,295.2276611328125,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
22,281.44537353515625,285.219482421875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
23,272.4722900390625,276.0095520019531,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
24,264.2592468261719,267.563232421875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
25,256.75213623046875,259.7877197265625,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
26,249.87049865722656,252.66070556640625,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
27,243.5858612060547,246.08367919921875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
28,237.8964385986328,240.09219360351562,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
29,232.6230926513672,234.52859497070312,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
30,227.8545379638672,229.48500061035156,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
31,223.5140838623047,224.8465576171875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
32,219.59039306640625,220.64788818359375,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
33,216.06765747070312,216.84080505371094,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
34,212.81503295898438,213.32537841796875,model_20210930-195808-31d662741f-b07f3f0220,model_20210930-195808-31d662741f
