,train_summaries,test_summaries,trial_id,parent_study_id
0,739.305908203125,744.6692504882812,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
1,679.1919555664062,685.6468505859375,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
2,624.9140014648438,632.272705078125,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
3,575.9812622070312,584.1231079101562,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
4,531.9622802734375,540.709228515625,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
5,492.42645263671875,501.63812255859375,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
6,456.9999694824219,466.53076171875,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
7,425.35333251953125,435.0536193847656,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
8,397.113525390625,406.88555908203125,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
9,372.0397644042969,381.7682800292969,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
10,349.815185546875,359.3659973144531,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
11,330.18438720703125,339.4757995605469,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
12,312.8994140625,321.83612060546875,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
13,297.7800598144531,306.25555419921875,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
14,284.5240478515625,292.50128173828125,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
15,273.0020446777344,280.4045715332031,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
16,263.0078430175781,269.79034423828125,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
17,254.33656311035156,260.50146484375,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
18,246.87130737304688,252.36659240722656,model_20211002-162323-758c10d44a-315af48e45,model_20211002-162323-758c10d44a
