,train_summaries,test_summaries,trial_id,parent_study_id
0,710.8991088867188,714.1327514648438,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
1,675.591796875,680.0001220703125,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
2,642.2740478515625,647.7977294921875,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
3,610.8406982421875,617.421142578125,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
4,581.2020874023438,588.7391967773438,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
5,553.2485961914062,561.7379150390625,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
6,526.9061889648438,536.2815551757812,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
7,502.0984802246094,512.2967529296875,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
8,478.75177001953125,489.726806640625,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
9,456.7752685546875,468.48663330078125,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
10,436.12481689453125,448.5140686035156,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
11,416.7052307128906,429.7281799316406,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
12,398.470458984375,412.0804443359375,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
13,381.3619384765625,395.5177307128906,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
14,365.3221740722656,379.97991943359375,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
15,350.29840087890625,365.4183654785156,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
16,336.2188720703125,351.7583312988281,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
17,323.0460205078125,338.9901428222656,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
18,310.73193359375,327.0185852050781,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
19,299.2517395019531,315.8333740234375,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
20,288.5325927734375,305.3923034667969,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
21,278.5404357910156,295.6495056152344,model_20211002-162751-b93eb8d68b-1791d6be7b,model_20211002-162751-b93eb8d68b
