,train_summaries,test_summaries,trial_id,parent_study_id
0,617.7549438476562,637.7700805664062,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
1,561.2017211914062,581.5586547851562,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
2,510.6527099609375,531.2680053710938,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
3,465.51971435546875,486.31121826171875,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
4,425.3323974609375,446.2218322753906,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
5,389.6007995605469,410.491943359375,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
6,357.9190673828125,378.7582702636719,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
7,329.921875,350.59832763671875,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
8,305.2507019042969,325.6869812011719,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
9,283.6038513183594,303.6973571777344,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
10,264.6684265136719,284.34100341796875,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
11,248.2104949951172,267.3684997558594,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
12,233.92544555664062,252.50546264648438,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
13,221.6312255859375,239.55899047851562,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
14,211.0440673828125,228.2705535888672,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
15,202.0218505859375,218.49758911132812,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
16,194.3428955078125,210.04742431640625,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
17,187.8267822265625,202.71951293945312,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
18,182.3173370361328,196.39837646484375,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
19,177.68124389648438,190.96270751953125,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
20,173.79957580566406,186.2938232421875,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
21,170.4892120361328,182.2511749267578,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
22,167.73062133789062,178.7831573486328,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
23,165.4710235595703,175.8223419189453,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
24,163.56301879882812,173.25906372070312,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
25,161.96600341796875,171.0496368408203,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
26,160.59820556640625,169.14132690429688,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
27,159.443359375,167.4766082763672,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
28,158.49049377441406,166.04502868652344,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
29,157.6449432373047,164.76902770996094,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
30,156.9386444091797,163.66761779785156,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
31,156.33071899414062,162.7101287841797,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
32,155.81201171875,161.8638916015625,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
33,155.3825225830078,161.13177490234375,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
34,154.99777221679688,160.47433471679688,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
35,154.66815185546875,159.90695190429688,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
36,154.3249969482422,159.3710479736328,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
37,154.06161499023438,158.90139770507812,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
38,153.8083038330078,158.47886657714844,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
39,153.60586547851562,158.1179656982422,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
40,153.40536499023438,157.78622436523438,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
41,153.20516967773438,157.47010803222656,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
42,153.04469299316406,157.20974731445312,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
43,152.89041137695312,156.9659881591797,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
44,152.74258422851562,156.7394561767578,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
45,152.59742736816406,156.534423828125,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
46,152.4775390625,156.34869384765625,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
47,152.339111328125,156.1736297607422,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
48,152.20498657226562,156.00502014160156,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
49,152.0789794921875,155.8512725830078,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
50,151.95211791992188,155.70602416992188,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
51,151.82257080078125,155.5719757080078,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
52,151.72283935546875,155.45506286621094,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
53,151.6185760498047,155.34498596191406,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
54,151.54779052734375,155.25332641601562,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
55,151.38125610351562,155.1225128173828,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
56,151.27476501464844,155.0309600830078,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
57,151.18365478515625,154.9420623779297,model_20211004-033943-c1453b99aa-0ad4d02bc1,model_20211004-033943-c1453b99aa
