,train_summaries,test_summaries,trial_id,parent_study_id
0,659.6060791015625,701.22119140625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
1,617.7994995117188,659.9320068359375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
2,579.1746215820312,621.7371215820312,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
3,543.529296875,586.4327392578125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
4,510.6571350097656,553.8101806640625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
5,480.3836975097656,523.685791015625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
6,452.53814697265625,495.8745422363281,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
7,426.957275390625,470.251953125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
8,403.491455078125,446.6589050292969,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
9,381.9767150878906,424.9333801269531,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
10,362.31329345703125,404.9620666503906,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
11,344.3670349121094,386.6359558105469,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
12,327.9985046386719,369.78643798828125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
13,313.13232421875,354.3499755859375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
14,299.6431579589844,340.2162170410156,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
15,287.4203796386719,327.2713317871094,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
16,276.388671875,315.4452209472656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
17,266.4376220703125,304.6548156738281,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
18,257.4949951171875,294.8350524902344,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
19,249.46090698242188,285.8760986328125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
20,242.2810516357422,277.7222595214844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
21,235.83216857910156,270.2777099609375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
22,230.11279296875,263.52239990234375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
23,224.99935913085938,257.3832092285156,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
24,220.45709228515625,251.80723571777344,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
25,216.40005493164062,246.69859313964844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
26,212.80877685546875,242.08416748046875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
27,209.5929718017578,237.85287475585938,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
28,206.75660705566406,234.03053283691406,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
29,204.21499633789062,230.54251098632812,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
30,201.9794464111328,227.35096740722656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
31,199.99642944335938,224.48675537109375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
32,198.2099151611328,221.8718719482422,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
33,196.6436767578125,219.4946746826172,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
34,195.23751831054688,217.30877685546875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
35,193.9825439453125,215.30242919921875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
36,192.82403564453125,213.48876953125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
37,191.83047485351562,211.8147430419922,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
38,190.92166137695312,210.2506561279297,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
39,190.10690307617188,208.85934448242188,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
40,189.36170959472656,207.5767059326172,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
41,188.72622680664062,206.40858459472656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
42,188.12998962402344,205.3289794921875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
43,187.6097869873047,204.3269500732422,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
44,187.1370391845703,203.41107177734375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
45,186.68516540527344,202.5382843017578,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
46,186.26522827148438,201.7240447998047,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
47,185.9252166748047,201.0168914794922,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
48,185.5767059326172,200.3614044189453,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
49,185.2770233154297,199.7313995361328,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
50,184.97715759277344,199.17613220214844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
51,184.7351531982422,198.68748474121094,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
52,184.50112915039062,198.2118377685547,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
53,184.24972534179688,197.75840759277344,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
54,184.01678466796875,197.33872985839844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
55,183.75128173828125,196.92994689941406,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
56,183.52865600585938,196.57846069335938,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
57,183.36575317382812,196.26687622070312,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
58,183.15728759765625,195.9469757080078,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
59,182.95706176757812,195.62083435058594,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
60,182.8084259033203,195.35943603515625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
61,182.60543823242188,195.06265258789062,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
62,182.3907012939453,194.81976318359375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
63,182.23968505859375,194.58445739746094,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
64,182.10928344726562,194.37486267089844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
65,181.96778869628906,194.17250061035156,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
66,181.81004333496094,193.99453735351562,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
67,181.690185546875,193.81153869628906,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
68,181.59446716308594,193.66021728515625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
69,181.39675903320312,193.48280334472656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
70,181.26300048828125,193.32968139648438,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
71,181.16209411621094,193.1673126220703,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
72,180.96131896972656,192.9944305419922,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
73,180.88815307617188,192.87954711914062,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
74,180.7745361328125,192.73817443847656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
75,180.6853790283203,192.623291015625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
76,180.5930633544922,192.50819396972656,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
77,180.43663024902344,192.37425231933594,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
78,180.36029052734375,192.2815704345703,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
79,180.16091918945312,192.15948486328125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
80,180.05133056640625,192.06463623046875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
81,179.96029663085938,191.98985290527344,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
82,179.85926818847656,191.89559936523438,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
83,179.7733612060547,191.8291015625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
84,179.675537109375,191.75656127929688,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
85,179.56121826171875,191.682373046875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
86,179.43641662597656,191.6025390625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
87,179.3637237548828,191.5553741455078,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
88,179.28994750976562,191.48391723632812,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
89,179.20388793945312,191.41746520996094,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
90,179.11846923828125,191.35760498046875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
91,179.0565185546875,191.307861328125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
92,178.94601440429688,191.22796630859375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
93,178.8841552734375,191.1814422607422,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
94,178.78245544433594,191.085205078125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
95,178.69529724121094,191.03704833984375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
96,178.55386352539062,190.9937744140625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
97,178.46080017089844,190.90621948242188,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
98,178.42074584960938,190.88011169433594,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
99,178.2681427001953,190.81890869140625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
100,178.19793701171875,190.78648376464844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
101,178.133544921875,190.75941467285156,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
102,178.07562255859375,190.709228515625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
103,177.9304656982422,190.64114379882812,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
104,177.87933349609375,190.61602783203125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
105,177.7457275390625,190.5839080810547,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
106,177.64849853515625,190.5425262451172,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
107,177.57615661621094,190.47935485839844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
108,177.51025390625,190.45059204101562,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
109,177.4058074951172,190.38902282714844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
110,177.3316650390625,190.35267639160156,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
111,177.3185272216797,190.336181640625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
112,177.25140380859375,190.302490234375,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
113,177.208740234375,190.27842712402344,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
114,177.13116455078125,190.2389678955078,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
115,177.07870483398438,190.21414184570312,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
116,176.9939422607422,190.16912841796875,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
117,176.89480590820312,190.13967895507812,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
118,176.8381805419922,190.10250854492188,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
119,176.79217529296875,190.0782470703125,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
120,176.68992614746094,190.02964782714844,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
121,176.6470184326172,190.01275634765625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
122,176.56591796875,189.9722137451172,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
123,176.53514099121094,189.9547576904297,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
124,176.46054077148438,189.9140167236328,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
125,176.39463806152344,189.8946075439453,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
126,176.35475158691406,189.8749237060547,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
127,176.3341522216797,189.86334228515625,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
128,176.30142211914062,189.8513946533203,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
129,176.24900817871094,189.8067169189453,model_20211004-221029-60911f2403-f3308396fe,model_20211004-221029-60911f2403
