,train_summaries,test_summaries,trial_id,parent_study_id
0,1061.091064453125,989.283203125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
1,1006.3081665039062,941.2474365234375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
2,954.8230590820312,896.088623046875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
3,906.451171875,853.6491088867188,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
4,861.0330200195312,813.798095703125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
5,818.4055786132812,776.3950805664062,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
6,778.4321899414062,741.3018798828125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
7,740.9509887695312,708.3980102539062,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
8,705.848876953125,677.55078125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
9,672.9890747070312,648.6500244140625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
10,642.2642822265625,621.602783203125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
11,613.5552978515625,596.3138427734375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
12,586.7499389648438,572.6813354492188,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
13,561.743896484375,550.5745849609375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
14,538.4535522460938,529.9508666992188,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
15,516.7785034179688,510.70867919921875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
16,496.62847900390625,492.7790222167969,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
17,477.9298095703125,476.08349609375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
18,460.5813293457031,460.5431213378906,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
19,444.5247802734375,446.1144104003906,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
20,429.6701965332031,432.69921875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
21,415.9262390136719,420.2226867675781,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
22,403.25909423828125,408.6614685058594,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
23,391.598876953125,397.93524169921875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
24,380.846923828125,387.987548828125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
25,370.9633483886719,378.7920227050781,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
26,361.901611328125,370.2832336425781,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
27,353.59033203125,362.4028015136719,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
28,345.9473876953125,355.1231994628906,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
29,338.96942138671875,348.4149169921875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
30,332.6112976074219,342.21636962890625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
31,326.8000183105469,336.4842224121094,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
32,321.47503662109375,331.1986389160156,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
33,316.615966796875,326.31024169921875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
34,312.19366455078125,321.7904052734375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
35,308.18792724609375,317.6469421386719,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
36,304.5417785644531,313.8265380859375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
37,301.2062683105469,310.2757263183594,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
38,298.1632995605469,307.0113830566406,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
39,295.38970947265625,303.9849853515625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
40,292.866943359375,301.20294189453125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
41,290.5796203613281,298.6313171386719,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
42,288.5067443847656,296.25897216796875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
43,286.5997619628906,294.05560302734375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
44,284.8432312011719,292.02203369140625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
45,283.2696838378906,290.1307373046875,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
46,281.8182373046875,288.3873291015625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
47,280.4851989746094,286.7749938964844,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
48,279.25146484375,285.2786865234375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
49,278.1376037597656,283.8847351074219,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
50,277.1063232421875,282.5914306640625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
51,276.15777587890625,281.39630126953125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
52,275.2718200683594,280.2759094238281,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
53,274.4706115722656,279.2510681152344,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
54,273.70318603515625,278.2658386230469,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
55,273.01068115234375,277.3591003417969,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
56,272.3210144042969,276.4783630371094,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
57,271.681884765625,275.66632080078125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
58,271.0610656738281,274.9117431640625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
59,270.5060729980469,274.2014465332031,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
60,269.9587707519531,273.51995849609375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
61,269.4617614746094,272.87359619140625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
62,268.987060546875,272.28363037109375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
63,268.5339050292969,271.73272705078125,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
64,268.1076965332031,271.21197509765625,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
65,267.67938232421875,270.7096252441406,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
66,267.27081298828125,270.24609375,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
67,266.915283203125,269.8237609863281,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
68,266.5464172363281,269.3988952636719,model_20211007-004101-85697c3b1f-ee2fa4bc23,model_20211007-004101-85697c3b1f
