,train_summaries,test_summaries,trial_id,parent_study_id
0,616.7274780273438,615.60693359375,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
1,577.6114501953125,578.2796020507812,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
2,541.2568969726562,543.5827026367188,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
3,507.4794616699219,511.34661865234375,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
4,476.1133117675781,481.4078674316406,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
5,446.9991149902344,453.6191711425781,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
6,420.0012512207031,427.8509826660156,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
7,394.96148681640625,403.94970703125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
8,371.7843933105469,381.8111572265625,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
9,350.34527587890625,361.315185546875,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
10,330.52410888671875,342.36346435546875,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
11,312.2219543457031,324.8394775390625,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
12,295.35699462890625,308.6623840332031,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
13,279.8185119628906,293.73748779296875,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
14,265.5249938964844,279.9840393066406,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
15,252.40036010742188,267.3338928222656,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
16,240.37017822265625,255.70753479003906,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
17,229.37049865722656,245.02069091796875,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
18,219.3226776123047,235.24246215820312,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
19,210.15444946289062,226.2583465576172,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
20,201.8110809326172,218.04200744628906,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
21,194.228759765625,210.53390502929688,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
22,187.33441162109375,203.6728515625,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
23,181.08096313476562,197.4137725830078,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
24,175.41326904296875,191.70083618164062,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
25,170.31924438476562,186.5201416015625,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
26,165.72434997558594,181.79400634765625,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
27,161.59432983398438,177.4875946044922,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
28,157.87315368652344,173.58761596679688,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
29,154.49996948242188,170.04019165039062,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
30,151.50448608398438,166.8381805419922,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
31,148.80250549316406,163.92098999023438,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
32,146.35528564453125,161.2677001953125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
33,144.23802185058594,158.89564514160156,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
34,142.26986694335938,156.72402954101562,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
35,140.5667724609375,154.75765991210938,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
36,139.00782775878906,152.9790802001953,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
37,137.61968994140625,151.3455047607422,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
38,136.36227416992188,149.8842010498047,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
39,135.2246551513672,148.54556274414062,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
40,134.21360778808594,147.3148651123047,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
41,133.304443359375,146.2003936767578,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
42,132.4777069091797,145.17501831054688,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
43,131.74114990234375,144.22744750976562,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
44,131.06642150878906,143.375,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
45,130.44912719726562,142.59649658203125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
46,129.8826904296875,141.89662170410156,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
47,129.3557891845703,141.2410125732422,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
48,128.86691284179688,140.63018798828125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
49,128.45953369140625,140.07647705078125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
50,128.0568389892578,139.56874084472656,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
51,127.66996002197266,139.08078002929688,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
52,127.34434509277344,138.65753173828125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
53,127.0015869140625,138.24905395507812,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
54,126.67063903808594,137.86643981933594,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
55,126.37525939941406,137.52688598632812,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
56,126.13810729980469,137.20782470703125,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
57,125.8631362915039,136.88731384277344,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
58,125.65348052978516,136.60755920410156,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
59,125.4269790649414,136.33572387695312,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
60,125.2181167602539,136.09727478027344,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
61,124.9801025390625,135.8441925048828,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
62,124.74885559082031,135.6145782470703,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
63,124.53971862792969,135.3935089111328,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
64,124.38943481445312,135.20481872558594,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
65,124.23399353027344,135.02500915527344,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
66,124.08183288574219,134.8593292236328,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
67,123.93637084960938,134.70388793945312,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
68,123.71690368652344,134.52078247070312,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
69,123.54399108886719,134.37208557128906,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
70,123.40355682373047,134.24020385742188,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
71,123.28140258789062,134.11082458496094,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
72,123.1440658569336,133.9880828857422,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
73,123.03506469726562,133.8726348876953,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
74,122.94192504882812,133.76954650878906,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
75,122.82199096679688,133.66236877441406,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
76,122.71028900146484,133.5688018798828,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
77,122.58685302734375,133.47903442382812,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
78,122.4667739868164,133.38368225097656,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
79,122.368896484375,133.310302734375,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
80,122.26325988769531,133.2399444580078,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
81,122.18827819824219,133.18038940429688,model_20211007-133211-dfc9abf36d-d095291123,model_20211007-133211-dfc9abf36d
