,train_summaries,test_summaries,trial_id,parent_study_id
0,1121.4154052734375,1108.6102294921875,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
1,1054.6280517578125,1044.6639404296875,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
2,992.4508056640625,985.1487426757812,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
3,934.6092529296875,929.7720947265625,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
4,880.8341674804688,878.2472534179688,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
5,830.8674926757812,830.2728271484375,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
6,784.3779907226562,785.725830078125,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
7,741.3468017578125,744.3861083984375,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
8,701.4330444335938,706.0260009765625,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
9,664.487060546875,670.4755249023438,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
10,630.3272094726562,637.5003051757812,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
11,598.792236328125,607.0029907226562,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
12,569.6151123046875,578.7761840820312,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
13,542.7255249023438,552.7086791992188,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
14,518.068115234375,528.6047973632812,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
15,495.33880615234375,506.36968994140625,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
16,474.5324401855469,485.9541015625,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
17,455.4817810058594,467.1415710449219,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
18,438.0611877441406,449.8515319824219,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
19,422.1854553222656,433.97467041015625,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
20,407.7690124511719,419.4485168457031,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
21,394.6080627441406,406.1437683105469,model_20211011-223703-bfac710631-1d918b840b,model_20211011-223703-bfac710631
