,train_summaries,test_summaries,trial_id,parent_study_id
0,782.836669921875,820.0321044921875,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
1,725.020751953125,760.7061157226562,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
2,672.118408203125,706.4782104492188,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
3,623.7305908203125,656.8163452148438,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
4,579.447509765625,611.474853515625,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
5,539.0127563476562,570.158203125,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
6,502.15728759765625,532.4429321289062,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
7,468.6239013671875,498.1384582519531,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
8,438.13861083984375,466.9912414550781,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
9,410.4224548339844,438.71337890625,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
10,385.31475830078125,413.1598205566406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
11,362.6212158203125,390.0495910644531,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
12,342.14410400390625,369.2195739746094,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
13,323.7439270019531,350.4548034667969,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
14,307.21820068359375,333.7070007324219,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
15,292.34405517578125,318.6462097167969,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
16,279.08306884765625,305.22979736328125,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
17,267.3016052246094,293.2709045410156,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
18,256.79351806640625,282.6578674316406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
19,247.4718017578125,273.18841552734375,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
20,239.22634887695312,264.8268127441406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
21,232.00668334960938,257.4488830566406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
22,225.59715270996094,250.9225616455078,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
23,219.92994689941406,245.1522674560547,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
24,214.92007446289062,240.04815673828125,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
25,210.57913208007812,235.59254455566406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
26,206.68161010742188,231.65530395507812,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
27,203.2518768310547,228.20912170410156,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
28,200.34521484375,225.21273803710938,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
29,197.7249298095703,222.56492614746094,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
30,195.47817993164062,220.23101806640625,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
31,193.50094604492188,218.17897033691406,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
32,191.73275756835938,216.40457153320312,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
33,190.0693359375,214.75131225585938,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
34,188.69332885742188,213.31814575195312,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
35,187.4663543701172,212.05392456054688,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
36,186.33758544921875,210.9539337158203,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
37,185.30262756347656,209.9072265625,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
38,184.46572875976562,209.0160369873047,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
39,183.66531372070312,208.24020385742188,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
40,182.95082092285156,207.5475616455078,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
41,182.3234100341797,206.9490203857422,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
42,181.72984313964844,206.3908233642578,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
43,181.21365356445312,205.9047088623047,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
44,180.70899963378906,205.48049926757812,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
45,180.2224884033203,205.04852294921875,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
46,179.71290588378906,204.65151977539062,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
47,179.28863525390625,204.3158721923828,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
48,178.87220764160156,204.02845764160156,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
49,178.4855194091797,203.71792602539062,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
50,177.97500610351562,203.39442443847656,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
51,177.58531188964844,203.12893676757812,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
52,177.27725219726562,202.895751953125,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
53,176.88931274414062,202.65989685058594,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
54,176.5819854736328,202.4685821533203,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
55,176.28416442871094,202.27215576171875,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
56,175.9156494140625,202.0255889892578,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
57,175.6681365966797,201.89247131347656,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
58,175.41627502441406,201.72227478027344,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
59,175.1453857421875,201.58335876464844,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
60,174.91038513183594,201.45895385742188,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
61,174.6396026611328,201.3235626220703,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
62,174.4222412109375,201.2094268798828,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
63,174.1385498046875,201.1206512451172,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
64,173.81185913085938,200.9870147705078,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
65,173.57102966308594,200.88021850585938,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
66,173.35360717773438,200.7848358154297,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
67,173.1317596435547,200.7047882080078,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
68,172.85308837890625,200.5455780029297,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
69,172.55593872070312,200.50634765625,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
70,172.29257202148438,200.4474639892578,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
71,172.03089904785156,200.35389709472656,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
72,171.8075714111328,200.2723846435547,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
73,171.57345581054688,200.19728088378906,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
74,171.289794921875,200.1551055908203,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
75,171.1002655029297,200.08755493164062,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
76,170.88705444335938,200.0629425048828,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
77,170.67796325683594,199.98646545410156,model_20211014-133647-1ab11b63b0-cd7f4410a6,model_20211014-133647-1ab11b63b0
