,train_summaries,test_summaries,trial_id,parent_study_id
0,725.6458129882812,745.9835205078125,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
1,659.4754028320312,681.709228515625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
2,600.286865234375,624.1968994140625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
3,547.44189453125,572.7796630859375,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
4,500.3297119140625,526.989990234375,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
5,458.43701171875,486.1805419921875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
6,421.24957275390625,449.8976745605469,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
7,388.3504943847656,417.7518615722656,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
8,359.25445556640625,389.2975158691406,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
9,333.677001953125,364.1664733886719,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
10,311.2792053222656,342.07196044921875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
11,291.6967468261719,322.6238098144531,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
12,274.6310119628906,305.5726013183594,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
13,259.9222717285156,290.6756591796875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
14,247.10264587402344,277.6429748535156,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
15,236.04678344726562,266.2619323730469,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
16,226.66615295410156,256.3559875488281,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
17,218.63442993164062,247.76036071777344,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
18,211.79409790039062,240.29696655273438,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
19,205.85816955566406,233.72427368164062,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
20,200.95523071289062,228.1248016357422,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
21,196.73135375976562,223.23541259765625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
22,193.2132110595703,219.053955078125,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
23,190.14031982421875,215.33143615722656,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
24,187.61366271972656,212.13320922851562,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
25,185.4771270751953,209.3494873046875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
26,183.5734405517578,206.90142822265625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
27,182.03619384765625,204.81979370117188,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
28,180.6674346923828,202.95660400390625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
29,179.41519165039062,201.26649475097656,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
30,178.39132690429688,199.7969512939453,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
31,177.49037170410156,198.49560546875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
32,176.67794799804688,197.33123779296875,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
33,175.98641967773438,196.32969665527344,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
34,175.2787628173828,195.4228057861328,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
35,174.6195068359375,194.58209228515625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
36,174.1306610107422,193.84417724609375,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
37,173.72793579101562,193.2072296142578,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
38,173.2918701171875,192.60260009765625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
39,172.89244079589844,192.088134765625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
40,172.4309844970703,191.55084228515625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
41,172.057373046875,191.08697509765625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
42,171.63409423828125,190.6886749267578,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
43,171.26182556152344,190.29254150390625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
44,170.95135498046875,189.9455108642578,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
45,170.6940155029297,189.6324920654297,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
46,170.46978759765625,189.34918212890625,model_20211014-140715-f3281a35d4-1c8294cbc3,model_20211014-140715-f3281a35d4
