,train_summaries,test_summaries,trial_id,parent_study_id
0,821.8162231445312,836.6589965820312,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
1,753.9979248046875,771.67431640625,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
2,692.450439453125,712.7971801757812,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
3,636.693603515625,659.3587036132812,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
4,586.236083984375,611.0736083984375,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
5,540.7013549804688,567.441650390625,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
6,499.416015625,528.0466918945312,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
7,462.35089111328125,492.5010070800781,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
8,428.9979248046875,460.5470886230469,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
9,399.0020446777344,431.88861083984375,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
10,372.19427490234375,406.15142822265625,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
11,348.1553955078125,383.0877685546875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
12,326.62139892578125,362.464599609375,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
13,307.5126647949219,344.0235595703125,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
14,290.53729248046875,327.63494873046875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
15,275.62628173828125,313.08917236328125,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
16,262.398193359375,300.1672668457031,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
17,250.8299102783203,288.724365234375,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
18,240.5183563232422,278.5948486328125,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
19,231.5933074951172,269.697021484375,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
20,223.67550659179688,261.78045654296875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
21,216.8909912109375,254.85614013671875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
22,210.91343688964844,248.7430877685547,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
23,205.80914306640625,243.3613739013672,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
24,201.29881286621094,238.61737060546875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
25,197.44093322753906,234.4422607421875,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
26,194.07276916503906,230.7787322998047,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
27,190.9971466064453,227.50308227539062,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
28,188.50201416015625,224.65948486328125,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
29,186.19293212890625,222.06007385253906,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
30,184.2349853515625,219.8078155517578,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
31,182.47450256347656,217.79522705078125,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
32,180.98635864257812,216.0293426513672,model_20211015-135626-221c5d2749-3359bd6d05,model_20211015-135626-221c5d2749
