,train_summaries,test_summaries,trial_id,parent_study_id
0,812.6605834960938,816.47509765625,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
1,754.5701293945312,760.2914428710938,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
2,701.2680053710938,708.6935424804688,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
3,652.4116821289062,661.3815307617188,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
4,607.641845703125,618.05126953125,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
5,566.6790771484375,578.3695678710938,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
6,529.2491455078125,542.0396118164062,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
7,495.0575256347656,508.87847900390625,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
8,463.8819580078125,478.5748291015625,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
9,435.47991943359375,450.9145202636719,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
10,409.67572021484375,425.8072204589844,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
11,386.2686767578125,403.00555419921875,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
12,365.0874328613281,382.2728271484375,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
13,345.8800354003906,363.4727783203125,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
14,328.6016540527344,346.4733581542969,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
15,312.95611572265625,331.10546875,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
16,299.0082702636719,317.2923278808594,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
17,286.3776550292969,304.7633361816406,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
18,275.1942138671875,293.5457763671875,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
19,265.2193908691406,283.4651184082031,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
20,256.3149719238281,274.4139404296875,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
21,248.32614135742188,266.3465881347656,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
22,241.26548767089844,259.088623046875,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
23,234.95970153808594,252.5652618408203,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
24,229.32801818847656,246.7268524169922,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
25,224.45877075195312,241.55979919433594,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
26,220.2077178955078,236.94076538085938,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
27,216.36090087890625,232.8071746826172,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
28,212.86756896972656,229.03744506835938,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
29,209.76719665527344,225.681396484375,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
30,207.0145263671875,222.6710968017578,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
31,204.60458374023438,219.99696350097656,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
32,202.40225219726562,217.579345703125,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
33,200.49888610839844,215.43910217285156,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
34,198.75062561035156,213.44651794433594,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
35,197.23895263671875,211.69276428222656,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
36,195.8728790283203,210.14244079589844,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
37,194.64039611816406,208.730224609375,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
38,193.5640869140625,207.47900390625,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
39,192.57821655273438,206.31817626953125,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
40,191.65933227539062,205.25180053710938,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
41,190.8046112060547,204.29147338867188,model_20211016-133044-ca5dcdef46-9228b32d1e,model_20211016-133044-ca5dcdef46
