,train_summaries,test_summaries,trial_id,parent_study_id
0,725.5402221679688,752.7041015625,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
1,668.284423828125,695.26708984375,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
2,616.4292602539062,643.2240600585938,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
3,569.5385131835938,596.1057739257812,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
4,527.2047729492188,553.4844360351562,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
5,489.0354919433594,514.9798583984375,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
6,454.7185363769531,480.2831726074219,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
7,423.9090881347656,449.0371398925781,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
8,396.32220458984375,420.9767761230469,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
9,371.67559814453125,395.80047607421875,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
10,349.7475280761719,373.2865295410156,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
11,330.27587890625,353.18206787109375,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
12,313.0504150390625,335.2849426269531,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
13,297.9019470214844,319.3907775878906,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
14,284.5881652832031,305.3232116699219,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
15,272.9013977050781,292.85107421875,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
16,262.7284240722656,281.8454895019531,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
17,253.8599090576172,272.1426696777344,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
18,246.078125,263.56646728515625,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
19,239.35166931152344,256.0244445800781,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
20,233.5512237548828,249.40428161621094,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
21,228.55859375,243.62376403808594,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
22,224.24258422851562,238.5708465576172,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
23,220.52305603027344,234.11534118652344,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
24,217.36038208007812,230.24716186523438,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
25,214.6092987060547,226.8838348388672,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
26,212.2581024169922,223.89022827148438,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
27,210.2437744140625,221.31898498535156,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
28,208.52674865722656,219.0166473388672,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
29,207.03060913085938,217.02587890625,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
30,205.6502685546875,215.24081420898438,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
31,204.51364135742188,213.7101593017578,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
32,203.46327209472656,212.26950073242188,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
33,202.6103515625,211.061279296875,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
34,201.8284454345703,209.99041748046875,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
35,201.16184997558594,209.04579162597656,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
36,200.54275512695312,208.161865234375,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
37,200.040283203125,207.42518615722656,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
38,199.55282592773438,206.72279357910156,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
39,199.13470458984375,206.12423706054688,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
40,198.7260284423828,205.5645294189453,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
41,198.393798828125,205.0565643310547,model_20211016-133752-064b23852b-6f0977c28b,model_20211016-133752-064b23852b
