,train_summaries,test_summaries,trial_id,parent_study_id
0,708.5425415039062,789.3306884765625,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
1,675.4307250976562,752.6807250976562,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
2,644.1292114257812,717.9937133789062,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
3,614.5513305664062,685.1828002929688,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
4,586.6151733398438,654.14599609375,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
5,560.2362060546875,624.8076171875,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
6,535.346435546875,597.0774536132812,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
7,511.8708801269531,570.8903198242188,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
8,489.7367858886719,546.1565551757812,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
9,468.8863830566406,522.8057861328125,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
10,449.2635498046875,500.7777099609375,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
11,430.8029479980469,480.0166931152344,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
12,413.4541320800781,460.45123291015625,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
13,397.1483154296875,442.0149841308594,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
14,381.83880615234375,424.6553039550781,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
15,367.5027160644531,408.32769775390625,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
16,354.0691833496094,392.9886169433594,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
17,341.4954528808594,378.5714111328125,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
18,329.7437438964844,365.03729248046875,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
19,318.7552490234375,352.3382568359375,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
20,308.51385498046875,340.4350280761719,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
21,298.9763488769531,329.2805480957031,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
22,290.0813293457031,318.830810546875,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
23,281.81903076171875,309.0679626464844,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
24,274.13067626953125,299.9349670410156,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
25,267.0123596191406,291.4246826171875,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
26,260.41253662109375,283.4718017578125,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
27,254.2930908203125,276.0515441894531,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
28,248.64096069335938,269.1523132324219,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
29,243.4152374267578,262.7369384765625,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
30,238.60430908203125,256.76751708984375,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
31,234.1728057861328,251.2139129638672,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
32,230.08738708496094,246.06239318847656,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
33,226.3362579345703,241.28662109375,model_20211019-043726-52a515b977-6c8a4377c1,model_20211019-043726-52a515b977
