,train_summaries,test_summaries,trial_id,parent_study_id
0,1059.808349609375,967.5880737304688,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
1,983.8579711914062,899.5932006835938,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
2,914.458984375,837.4871826171875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
3,851.1028442382812,780.7603759765625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
4,793.36572265625,729.0294799804688,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
5,740.8146362304688,681.8948364257812,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
6,693.1063842773438,639.0743408203125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
7,649.7680053710938,600.1642456054688,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
8,610.5701293945312,564.8930053710938,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
9,575.167724609375,533.0125122070312,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
10,543.236328125,504.200439453125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
11,514.5327758789062,478.2467346191406,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
12,488.78460693359375,454.931640625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
13,465.70556640625,433.9511413574219,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
14,445.1682434082031,415.20965576171875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
15,426.84710693359375,398.4221496582031,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
16,410.5724792480469,383.47637939453125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
17,396.1968688964844,370.1741027832031,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
18,383.51055908203125,358.3525695800781,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
19,372.2722473144531,347.9374694824219,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
20,362.3926086425781,338.6390380859375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
21,353.7459411621094,330.5204162597656,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
22,346.11846923828125,323.3462219238281,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
23,339.4479064941406,317.0023498535156,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
24,333.6030578613281,311.46002197265625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
25,328.50457763671875,306.5568542480469,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
26,323.9855651855469,302.2596435546875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
27,320.0544128417969,298.48455810546875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
28,316.55853271484375,295.13671875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
29,313.5917663574219,292.2037658691406,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
30,310.9253845214844,289.61260986328125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
31,308.5651550292969,287.3450927734375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
32,306.4580078125,285.32037353515625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
33,304.63360595703125,283.5491027832031,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
34,302.9876403808594,281.97344970703125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
35,301.53009033203125,280.5467529296875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
36,300.1470031738281,279.2989196777344,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
37,299.00421142578125,278.1766357421875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
38,297.9647216796875,277.19439697265625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
39,297.0091552734375,276.3150939941406,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
40,296.0726013183594,275.463134765625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
41,295.1098327636719,274.66693115234375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
42,294.2986145019531,274.02374267578125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
43,293.4836120605469,273.4297180175781,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
44,292.7958679199219,272.8675537109375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
45,292.1217956542969,272.4085998535156,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
46,291.5071105957031,271.9468688964844,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
47,291.0113220214844,271.5589904785156,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
48,290.4263916015625,271.19354248046875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
49,289.9173889160156,270.8363342285156,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
50,289.4749755859375,270.513916015625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
51,288.99725341796875,270.229248046875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
52,288.5894775390625,269.93511962890625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
53,288.121337890625,269.666748046875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
54,287.76715087890625,269.43634033203125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
55,287.4280090332031,269.2124938964844,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
56,287.0428771972656,269.02471923828125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
57,286.74859619140625,268.86895751953125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
58,286.33245849609375,268.6788330078125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
59,286.033935546875,268.4990234375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
60,285.56915283203125,268.31500244140625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
61,285.3429260253906,268.1781005859375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
62,285.0264892578125,268.051513671875,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
63,284.7921447753906,267.91778564453125,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
64,284.4814758300781,267.7637634277344,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
65,284.11041259765625,267.6625061035156,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
66,283.87030029296875,267.5335388183594,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
67,283.6518859863281,267.4684753417969,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
68,283.24261474609375,267.37408447265625,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
69,283.06903076171875,267.2977600097656,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
70,282.6776123046875,267.1789855957031,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
71,282.4718322753906,267.0742492675781,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
72,282.3044128417969,267.00335693359375,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
73,281.8926086425781,266.8694152832031,model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
