,train_summaries,test_summaries,trial_id,parent_study_id
0,695.92626953125,658.5987548828125,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
1,639.8067626953125,605.8801879882812,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
2,588.8120727539062,558.0054321289062,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
3,542.5445556640625,514.6038818359375,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
4,500.589599609375,475.2695007324219,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
5,462.6048583984375,439.6216735839844,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
6,428.26947021484375,407.42803955078125,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
7,397.271728515625,378.4237976074219,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
8,369.36712646484375,352.2255859375,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
9,344.26226806640625,328.64764404296875,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
10,321.7413024902344,307.5123596191406,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
11,301.6366882324219,288.62744140625,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
12,283.71685791015625,271.8614196777344,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
13,267.7078857421875,256.85589599609375,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
14,253.55313110351562,243.60655212402344,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
15,241.07440185546875,231.88052368164062,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
16,230.0923614501953,221.56671142578125,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
17,220.4495391845703,212.48519897460938,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
18,211.97811889648438,204.47840881347656,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
19,204.59991455078125,197.48728942871094,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
20,198.18807983398438,191.43240356445312,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
21,192.61065673828125,186.2184600830078,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
22,187.7605743408203,181.63929748535156,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
23,183.5528564453125,177.66485595703125,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
24,179.91233825683594,174.2935333251953,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
25,176.77867126464844,171.37271118164062,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
26,174.0310516357422,168.81785583496094,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
27,171.63572692871094,166.60122680664062,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
28,169.5902099609375,164.6731414794922,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
29,167.7786102294922,163.018310546875,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
30,166.2010040283203,161.57395935058594,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
31,164.7646484375,160.32537841796875,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
32,163.58775329589844,159.27003479003906,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
33,162.5244903564453,158.30221557617188,model_20211021-000023-c68bb9d0dc-4bf909f3f1,model_20211021-000023-c68bb9d0dc
